,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,two_step_continuous_cpu_max,knn,53,0.8351750554726329,0.8354141574448203,54.719646051931726,0.2042490925810131,0.8253172648208669,"{'knn__n_neighbors': 3, 'pca__n_components': 53}"
1,ShorterThan1.2Kms,two_step_continuous_cpu_max,dtr,21,0.7367834562663897,0.7371652892158836,68.06197717711909,0.2574962404583989,0.7243596622022433,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 21}"
2,ShorterThan1.2Kms,two_step_continuous_cpu_max,lasso,27,0.6854050270135109,0.6858613916656999,97.39233088721271,0.5141801350431476,0.6830788137258219,"{'lasso__alpha': 0.81, 'pca__n_components': 27}"
3,ShorterThan1.2Kms,two_step_continuous_cpu_max,elasticnet,41,0.6911616497561703,0.6916096636101543,96.72861986411259,0.5087316534173733,0.68813254638727,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 41}"
4,ShorterThan1.2Kms,two_step_continuous_cpu_max,svr,30,-1.5524558705672816e+16,-1.5502038130194944e+16,262298036.6105751,1736125.4902147052,-5316680579094127.0,"{'pca__n_components': 30, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
0,ShorterThan1.2Kms,two_step_8_cat_cpu_max,knn,76,0.8370405203854625,0.8373635947146226,55.31974275905421,0.20959618865340862,0.8290080591164675,"{'knn__n_neighbors': 5, 'pca__n_components': 76}"
1,ShorterThan1.2Kms,two_step_8_cat_cpu_max,dtr,44,0.7353076583685171,0.735832422567008,68.78477829892172,0.2612261998654178,0.6817112034536699,"{'dtr__criterion': 'mse', 'pca__n_components': 44}"
2,ShorterThan1.2Kms,two_step_8_cat_cpu_max,lasso,44,0.7401709896488056,0.7406861120793271,84.57517874001181,0.4137122472237773,0.7388258604021958,"{'lasso__alpha': 0.76, 'pca__n_components': 44}"
3,ShorterThan1.2Kms,two_step_8_cat_cpu_max,elasticnet,51,0.7461700425008496,0.7466732715454794,83.87034520953323,0.40924810195537914,0.7443312970919753,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 51}"
4,ShorterThan1.2Kms,two_step_8_cat_cpu_max,svr,40,0.6830736743486048,0.6837019947156997,98.67571805224586,0.5138154291579997,0.6805919545511687,"{'pca__n_components': 40, 'svr__alpha': 0.10010000000000001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ShorterThan1.2Kms,two_step_9_cat_cpu_max,knn,58,0.8421073234271956,0.8424279874544705,54.75402543397321,0.21050370510841535,0.8349051130653709,"{'knn__n_neighbors': 5, 'pca__n_components': 58}"
1,ShorterThan1.2Kms,two_step_9_cat_cpu_max,dtr,42,0.743464397962405,0.7439853957760739,67.55546153474204,0.259762320799824,0.7149685897357989,"{'dtr__criterion': 'mse', 'pca__n_components': 42}"
2,ShorterThan1.2Kms,two_step_9_cat_cpu_max,lasso,71,0.7435952334681856,0.7441159655681994,84.56886997774784,0.4209156560574763,0.7419516631818042,"{'lasso__alpha': 0.81, 'pca__n_components': 71}"
3,ShorterThan1.2Kms,two_step_9_cat_cpu_max,elasticnet,67,0.7478951096216148,0.748407109108856,84.32558721285612,0.42099144343211437,0.7456552694171711,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 67}"
4,ShorterThan1.2Kms,two_step_9_cat_cpu_max,svr,41,0.7418593472038357,0.7423836047129597,85.36812722849044,0.4305936778955977,0.7404095585617312,"{'pca__n_components': 41, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
0,ShorterThan1.2Kms,two_step_10_cat_cpu_max,knn,59,0.841663147111975,0.8419923695521571,55.72546298534888,0.21628504711340263,0.8311535128161596,"{'knn__n_neighbors': 5, 'pca__n_components': 59}"
1,ShorterThan1.2Kms,two_step_10_cat_cpu_max,dtr,56,0.7510601309504126,0.7515777400202674,67.25808713311736,0.2603449956738416,0.7057429738924357,"{'dtr__criterion': 'mse', 'pca__n_components': 56}"
2,ShorterThan1.2Kms,two_step_10_cat_cpu_max,lasso,81,0.7347370441453125,0.7352885930489537,86.71083046707187,0.4308081257147835,0.7337852731049291,"{'lasso__alpha': 0.81, 'pca__n_components': 81}"
3,ShorterThan1.2Kms,two_step_10_cat_cpu_max,elasticnet,84,0.7395841661241714,0.7401256366329435,86.4581259166767,0.4327223951983857,0.7381256111952998,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 84}"
4,ShorterThan1.2Kms,two_step_10_cat_cpu_max,svr,46,0.7423281745600704,0.7428639395799643,85.12529868550455,0.4159394933473527,0.7418793186454465,"{'pca__n_components': 46, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
