,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,simple,knn,43,0.7274749463534462,0.7278439268665917,76.63424882742615,0.339527221296447,0.719505871434152,"{'knn__n_neighbors': 5, 'pca__n_components': 43}"
1,ShorterThan1.2Kms,simple,dtr,36,0.5392015012882247,0.5398253913278239,95.60606353657947,0.4295745209715074,0.5277901614723268,"{'dtr__criterion': 'mse', 'pca__n_components': 36}"
2,ShorterThan1.2Kms,simple,lasso,40,0.629172399663445,0.6296744751843184,105.25834721875363,0.5386791007482307,0.623777029451025,"{'lasso__alpha': 0.66, 'pca__n_components': 40}"
3,ShorterThan1.2Kms,simple,elasticnet,40,0.6230700180870004,0.623580355820303,107.60893792750231,0.5722024379296011,0.6176379770763015,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.7000000000000001, 'pca__n_components': 40}"
4,ShorterThan1.2Kms,simple,svr,28,0.6370663279251927,0.6375577156004469,103.56625397146932,0.5108387541327989,0.6318819858431153,"{'pca__n_components': 28, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
0,ShorterThan1.2Kms,two_step_4_cat,knn,56,0.827554197673586,0.8278418783476635,56.15405444610995,0.21157742608172678,0.8200149093648428,"{'knn__n_neighbors': 3, 'pca__n_components': 56}"
1,ShorterThan1.2Kms,two_step_4_cat,dtr,45,0.7304135463552501,0.730863280774183,68.45389487935786,0.25851148295762166,0.6962874618728409,"{'dtr__criterion': 'mse', 'pca__n_components': 45}"
2,ShorterThan1.2Kms,two_step_4_cat,lasso,66,0.727237199419563,0.727692232741776,89.17652547850044,0.4529679429461027,0.72332272934384,"{'lasso__alpha': 0.41000000000000003, 'pca__n_components': 66}"
3,ShorterThan1.2Kms,two_step_4_cat,elasticnet,66,0.7192593347798552,0.7197276770805778,90.92397309633957,0.47510275596982615,0.7163975539838259,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 66}"
4,ShorterThan1.2Kms,two_step_4_cat,svr,33,0.6647438377723244,0.6653031249073963,101.87015249407158,0.5582154403824667,0.6645534822200447,"{'pca__n_components': 33, 'svr__alpha': 0.07010000000000001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ShorterThan1.2Kms,two_step_continuous,knn,39,0.8465472354885131,0.8467698404997722,53.21539577389875,0.19876529849850352,0.8363568225792963,"{'knn__n_neighbors': 5, 'pca__n_components': 39}"
1,ShorterThan1.2Kms,two_step_continuous,dtr,48,0.7480841219515659,0.7484495616818168,66.21348097287365,0.2560805036919159,0.7270239951485316,"{'dtr__criterion': 'mse', 'pca__n_components': 48}"
2,ShorterThan1.2Kms,two_step_continuous,lasso,45,0.6854050270135109,0.6858613916656999,97.39233088721261,0.5141801350431461,0.6831140645256021,"{'lasso__alpha': 0.81, 'pca__n_components': 45}"
3,ShorterThan1.2Kms,two_step_continuous,elasticnet,37,0.6934793160363201,0.6939239677864668,96.26833964363102,0.5027790402612119,0.6910983749911427,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.6000000000000001, 'pca__n_components': 37}"
4,ShorterThan1.2Kms,two_step_continuous,svr,30,-3.245939369000342e+16,-3.241230673317452e+16,367599406.5425904,2424210.64249615,-2775501677632225.5,"{'pca__n_components': 30, 'svr__alpha': 0.07010000000000001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
