,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,continuous_more_res,knn,56,0.8236864178780936,0.8241568190125156,63.517871801486976,0.22504411191922527,0.8054120942564509,"{'knn__n_neighbors': 7, 'pca__n_components': 56}"
1,ShorterThan1.2Kms,continuous_more_res,dtr,52,0.6402120253246919,0.6411719324935092,103.41621582238665,0.46544887189680906,0.6622798189102295,"{'dtr__criterion': 'mse', 'dtr__max_depth': 5, 'pca__n_components': 52}"
2,ShorterThan1.2Kms,continuous_more_res,lasso,43,0.6607523200693599,0.6616574261398559,103.91048350794091,0.4537077188369241,0.6561170179599964,"{'lasso__alpha': 0.8600000000000001, 'pca__n_components': 43}"
3,ShorterThan1.2Kms,continuous_more_res,mlp,48,0.85234159648542,0.852735546172587,59.318359393168606,0.2228327079974627,0.8230298021283825,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 48}"
4,ShorterThan1.2Kms,continuous_more_res,elasticnet,61,0.6681548584164743,0.6690402146617204,102.99906772379701,0.4478908933041766,0.6633312015700893,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 61}"
5,ShorterThan1.2Kms,continuous_more_res,svr,33,-1.1853643480171442e+17,-1.1822018194853083e+17,641124857.791278,4202376.376061649,-342599261497.4291,"{'pca__n_components': 33, 'svr__alpha': 0.0301, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,4cat_more_res,knn,64,0.8027384266361566,0.8034185551984258,67.2020604170087,0.24000168427998747,0.786221024766969,"{'knn__n_neighbors': 3, 'pca__n_components': 64}"
1,ShorterThan1.2Kms,4cat_more_res,dtr,72,0.6986302358264065,0.6996693139444783,93.92085454571203,0.4048430041502122,0.6858103767209001,"{'dtr__criterion': 'mse', 'dtr__max_depth': 5, 'pca__n_components': 72}"
2,ShorterThan1.2Kms,4cat_more_res,lasso,56,0.7271184460477225,0.7280593010545768,89.61853085120013,0.36893390091154377,0.7214179429722658,"{'lasso__alpha': 0.56, 'pca__n_components': 56}"
3,ShorterThan1.2Kms,4cat_more_res,mlp,38,0.8379505944390778,0.8385093166845778,62.62547569443629,0.2325655307906175,0.8113238836535064,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 38}"
4,ShorterThan1.2Kms,4cat_more_res,elasticnet,48,0.7182004920013448,0.719172094787204,91.80001066638711,0.3920226387627789,0.713058063225849,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 48}"
5,ShorterThan1.2Kms,4cat_more_res,svr,40,0.7401887434726071,0.7410845340381491,87.21765529670486,0.35013523474718306,0.7325005278447052,"{'pca__n_components': 40, 'svr__alpha': 0.0301, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,5cat_more_res,knn,46,0.786645152710796,0.7874070404797144,70.7737782520659,0.2548315605907924,0.7757037290340536,"{'knn__n_neighbors': 3, 'pca__n_components': 46}"
1,ShorterThan1.2Kms,5cat_more_res,dtr,57,0.7820153252443399,0.7827937460752615,73.64368837007622,0.2851902175043024,0.7558738831399219,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 10, 'pca__n_components': 57}"
2,ShorterThan1.2Kms,5cat_more_res,lasso,63,0.7142342950446451,0.7152547611748883,93.20329827145976,0.3885884210124128,0.7113449387774124,"{'lasso__alpha': 0.51, 'pca__n_components': 63}"
3,ShorterThan1.2Kms,5cat_more_res,mlp,86,0.8339880778810932,0.8345809045947304,63.701315304673436,0.2331002024995468,0.8212892917678372,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 86}"
4,ShorterThan1.2Kms,5cat_more_res,elasticnet,85,0.6502493355461948,0.6514982912498225,104.40331987126193,0.46720489628898715,0.6499373869605511,"{'elasticnet__alpha': 0.36000000000000004, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 85}"
5,ShorterThan1.2Kms,5cat_more_res,svr,45,0.7287537933477943,0.7297224105122955,90.06952734252843,0.3653202746029979,0.7251196857521915,"{'pca__n_components': 45, 'svr__alpha': 0.0301, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,6cat_more_res,knn,47,0.7775612872720146,0.7783921341651824,71.76056887210639,0.2579820202080772,0.7632691078510466,"{'knn__n_neighbors': 4, 'pca__n_components': 47}"
1,ShorterThan1.2Kms,6cat_more_res,dtr,68,0.7556895379767853,0.7566020796196089,77.64349097281507,0.2998459969101515,0.7311085231606292,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 68}"
2,ShorterThan1.2Kms,6cat_more_res,lasso,78,0.7274831681465976,0.7285010654375166,90.22417330791225,0.36246044042014663,0.7241072654657733,"{'lasso__alpha': 0.26, 'pca__n_components': 78}"
