,dataset,resource,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,read_sum,continuous,knn,56,0.6765287979009604,0.6773121497428454,0.11311465576876494,0.317429807035397,0.6738457961510687,"{'knn__n_neighbors': 5, 'pca__n_components': 56}"
1,ShorterThan1.2Kms,read_sum,continuous,dtr,56,0.652092246048743,0.6529347760115196,0.12349154105398999,0.4151196359070469,0.6460936897505214,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 5, 'pca__n_components': 56}"
2,ShorterThan1.2Kms,read_sum,continuous,lasso,48,0.20847586006721508,0.21039269806976135,0.22105724023650009,0.9788055960145654,0.19581550503930223,"{'lasso__alpha': 0.060000000000000005, 'pca__n_components': 48}"
3,ShorterThan1.2Kms,read_sum,continuous,mlp,42,0.6901459862888989,0.6908963613169724,0.11764243574010812,0.39942224614409977,0.6918379721278394,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100,), 'pca__n_components': 42}"
4,ShorterThan1.2Kms,read_sum,continuous,elasticnet,56,0.579074409055071,0.5800937666820362,0.14794023276187404,0.5634280170106023,0.5792811936567104,"{'elasticnet__alpha': 0.11, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 56}"
5,ShorterThan1.2Kms,read_sum,continuous,svr,27,0.6035111411120312,0.604471320181702,0.1380965155160512,0.531358205465625,0.6021775031678112,"{'pca__n_components': 27, 'svr__alpha': 0.0601, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ShorterThan1.2Kms,write_sum,continuous,knn,49,0.47168564013585845,0.47296506168624164,0.11065396911629205,0.24488800690960452,0.4677728176613613,"{'knn__n_neighbors': 11, 'pca__n_components': 49}"
1,ShorterThan1.2Kms,write_sum,continuous,dtr,41,0.4424905913306568,0.443840714678007,0.12707756127816594,0.2812936675287102,0.44842359049935326,"{'dtr__criterion': 'mse', 'dtr__max_depth': 5, 'pca__n_components': 41}"
2,ShorterThan1.2Kms,write_sum,continuous,lasso,44,0.3824390136824358,0.38393456423830896,0.15744185010824147,0.35559427657726583,0.3918552395467688,"{'lasso__alpha': 0.01, 'pca__n_components': 44}"
3,ShorterThan1.2Kms,write_sum,continuous,mlp,53,0.45407522205390016,0.45539729084258873,0.12871062222942795,0.28452461660028777,0.44476568845670905,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': (100,), 'pca__n_components': 53}"
4,ShorterThan1.2Kms,write_sum,continuous,elasticnet,58,0.4153164684980605,0.41673239955575514,0.1475343199556685,0.33889859773381187,0.4243837759722244,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 58}"
5,ShorterThan1.2Kms,write_sum,continuous,svr,26,0.4006364125229951,0.40208789434629866,0.1523447356905973,0.34936534537574576,0.4085134583706076,"{'pca__n_components': 26, 'svr__alpha': 0.1201, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
