,dataset,resource,pipeline,name,pca,accuracy,balanced_accuracy,f1_micro,f1_macro,params
0,ShorterThan1.2Kms,read_sum,classifier_10,knn,40,0.4597356755869315,0.41575592758873176,0.4597356755869315,0.40534522311893606,"{'knn__n_neighbors': 25, 'pca__n_components': 40}"
1,ShorterThan1.2Kms,read_sum,classifier_10,mlp,48,0.4678213758003612,0.4242339463842827,0.4678213758003612,0.4047742797865688,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 131, 'pca__n_components': 48}"
2,ShorterThan1.2Kms,read_sum,classifier_10,svc,30,0.4346987358397636,0.39493208389187023,0.4346987358397636,0.35510140171360854,"{'pca__n_components': 30, 'svc__C': 0.5, 'svc__degree': 5, 'svc__kernel': 'linear'}"
0,ShorterThan1.2Kms,write_sum,classifier_10,knn,48,0.8199392546379904,0.569891712232276,0.8199392546379904,0.5925933450566333,"{'knn__n_neighbors': 21, 'pca__n_components': 48}"
1,ShorterThan1.2Kms,write_sum,classifier_10,mlp,41,0.8131669676571991,0.561428110495816,0.8131669676571991,0.5923787121899937,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 51, 'pca__n_components': 41}"
2,ShorterThan1.2Kms,write_sum,classifier_10,svc,33,0.8022902643244131,0.5622456671598176,0.8022902643244131,0.5894978532557102,"{'pca__n_components': 33, 'svc__C': 0.5, 'svc__degree': 9, 'svc__kernel': 'linear'}"
0,ShorterThan1.2Kms,cpu_mean,classifier_10,knn,46,0.9999589558364801,0.5,0.9999589558364801,0.4999897387485378,"{'knn__n_neighbors': 27, 'pca__n_components': 46}"
1,ShorterThan1.2Kms,cpu_mean,classifier_10,mlp,55,0.9999589558364801,0.5,0.9999589558364801,0.4999897387485378,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 1, 'pca__n_components': 55}"
2,ShorterThan1.2Kms,cpu_mean,classifier_10,svc,6,0.9999589558364801,0.5,0.9999589558364801,0.4999897387485378,"{'pca__n_components': 6, 'svc__C': 0.8, 'svc__degree': 7, 'svc__kernel': 'linear'}"
0,ShorterThan1.2Kms,cpu_max,classifier_10,knn,46,0.9999589558364801,0.5,0.9999589558364801,0.4999897387485378,"{'knn__n_neighbors': 27, 'pca__n_components': 46}"
1,ShorterThan1.2Kms,cpu_max,classifier_10,mlp,46,0.9999589558364801,0.5,0.9999589558364801,0.4999897387485378,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 1, 'pca__n_components': 46}"
2,ShorterThan1.2Kms,cpu_max,classifier_10,svc,6,0.9999589558364801,0.5,0.9999589558364801,0.4999897387485378,"{'pca__n_components': 6, 'svc__C': 0.8, 'svc__degree': 7, 'svc__kernel': 'linear'}"
0,ShorterThan1.2Kms,memory_mean,classifier_10,knn,40,0.31989821047447053,0.32149546633037696,0.31989821047447053,0.3138437697531295,"{'knn__n_neighbors': 3, 'pca__n_components': 40}"
1,ShorterThan1.2Kms,memory_mean,classifier_10,mlp,56,0.35622229518962406,0.35905759442060725,0.3562222951896241,0.32263260256896464,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 181, 'pca__n_components': 56}"
2,ShorterThan1.2Kms,memory_mean,classifier_10,svc,31,0.33590543424725006,0.3390101189373944,0.33590543424725006,0.272050533282525,"{'pca__n_components': 31, 'svc__C': 0.9, 'svc__degree': 9, 'svc__kernel': 'linear'}"
0,ShorterThan1.2Kms,memory_max,classifier_10,knn,55,0.29153669348218686,0.2918684587234031,0.29153669348218686,0.281215813383692,"{'knn__n_neighbors': 7, 'pca__n_components': 55}"
1,ShorterThan1.2Kms,memory_max,classifier_10,mlp,41,0.3107864061730422,0.3114774992640981,0.3107864061730422,0.29010365007095495,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 81, 'pca__n_components': 41}"
