,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
0,knn,34,0.09868619471580753,0.37429454839775067,87.58401639344262,0.13126626115245504,0.3928211719862506,"{'knn__n_neighbors': 4, 'pca__n_components': 34}",0.6877481584964465,add_replace,488
1,dtr,30,-0.45715522253880003,-0.011578832175695775,114.18032786885246,0.18038952830641694,-0.16708069249793067,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 30}",0.8965940757451161,add_replace,488
2,lasso,36,0.154072097723428,0.41274426618816484,89.31104217997276,0.13500803705605743,0.42737601032321787,"{'lasso__alpha': 0.36000000000000004, 'pca__n_components': 36}",0.701309523380952,add_replace,488
3,elasticnet,23,0.17351688233382612,0.42624312492596195,89.1146002998673,0.13622185204550183,0.4691704775669004,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.7000000000000001, 'pca__n_components': 23}",0.6997669754725848,add_replace,488
4,svr,17,0.17187041351501198,0.42510012177901657,89.04801862922372,0.13554569469066044,0.43709736455521203,"{'pca__n_components': 17, 'svr__alpha': 0.1201, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}",0.6992441469559175,add_replace,488
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,add_replace,488
0,knn,19,0.7530750921649485,0.8273533164730534,1251.9322580645162,0.21580232462705828,0.7638706477809538,"{'knn__n_neighbors': 5, 'pca__n_components': 19}",0.3178688089948615,alignment_to_reference,495
1,dtr,26,0.42644969911135777,0.5989810904355835,1411.241935483871,0.21374731718888454,0.4005407004387068,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 26}",0.35831794439850906,alignment_to_reference,495
2,lasso,19,0.5223513121508332,0.6660342507721273,1984.211182053232,0.4992462068136722,0.6469973531883941,"{'lasso__alpha': 0.46, 'pca__n_components': 19}",0.5037963046088746,alignment_to_reference,495
3,elasticnet,35,0.5181430509968256,0.6630918893148536,1979.3671112825925,0.4793050611496927,0.6243164022599839,"{'elasticnet__alpha': 0.11, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 35}",0.5025663826249722,alignment_to_reference,495
4,svr,18,0.5304786486733528,0.6717167787472222,1967.7762343782763,0.4868017361077555,0.6306620782845129,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}",0.4996234292718275,alignment_to_reference,495
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,alignment_to_reference,495
0,knn,30,1.313717649775941,0.7609770287421401,54408.0,0.04465746124917336,,"{'knn__n_neighbors': 1, 'pca__n_components': 30}",0.43884430217224124,bwa-index,88
1,dtr,35,2.4450446308070166,-0.10098638537677451,103871.63636363637,0.0950201012655433,,"{'dtr__criterion': 'poisson', 'pca__n_components': 35}",0.837808332882826,bwa-index,88
2,lasso,22,1.2014383032752904,0.8465231975045406,46821.091775031055,0.036487006555959954,,"{'lasso__alpha': 0.01, 'pca__n_components': 22}",0.37764978214519856,bwa-index,88
3,elasticnet,26,1.1963144153062746,0.8504271121476003,45514.03762157055,0.03569350467783116,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 26}",0.36710733860974964,bwa-index,88
4,svr,19,92.98980415423893,-69.08746983180109,1222233.4751152908,0.9999996392950926,,"{'pca__n_components': 19, 'svr__alpha': 0.1201, 'svr__loss': 'huber', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",9.858296509309719,bwa-index,88
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,bwa-index,88
0,knn,28,1.1939463992983852,0.8614668576440105,248.63636363636363,0.05362804235247118,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.3443066658274039,combine_variants,85
1,dtr,34,1.3862320959455532,0.724119931467462,259.04545454545456,0.05383058393560636,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.3587209668282221,combine_variants,85
2,lasso,18,1.2278307959803807,0.8372637171568709,260.0701591191412,0.05529929326107577,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.3601399572368018,combine_variants,85
3,elasticnet,28,1.2023993284754877,0.8554290510889374,248.986498027977,0.05375714442179964,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 28}",0.3447915249333077,combine_variants,85
4,svr,18,36.12792757660499,-24.091376840432137,4273.715182968795,0.9323602058588275,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",5.918155348732479,combine_variants,85
5,big,xD,,0.9593684563035114,1866.5576492617622,0.24612635059235002,,,0.09290533130204824,combine_variants,85
0,knn,32,0.7440786039245857,0.821063088922881,384.62298387096774,0.05867792749203434,0.6941096177237847,"{'knn__n_neighbors': 4, 'pca__n_components': 32}",0.27873350883191067,dedup,493
1,dtr,26,0.4984469221491489,0.6493206122343642,599.7016129032259,0.1012431290167598,0.4646665069532642,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 26}",0.4345994436795012,dedup,493
