,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
0,knn,24,0.010089935987168563,0.376723293028958,82.37385321100918,0.12836569982894555,0.42560903131372324,"{'knn__n_neighbors': 4, 'pca__n_components': 24}",0.6688205341632344,add_replace,427
1,dtr,25,-0.5721831515740787,0.010106904564468944,98.69303459522362,0.1470083055007508,-0.06392677691385867,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 25}",0.8013213603967497,add_replace,427
2,lasso,37,-0.05790911182090608,0.33390907774239253,85.21102230952776,0.13381253826442327,0.4943305867778574,"{'lasso__alpha': 0.060000000000000005, 'pca__n_components': 37}",0.6918564475995264,add_replace,427
3,mlp,25,-0.15341073791742366,0.2737784242742147,99.12372784152974,0.1623119460437996,-1.9766189003767014,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 25}",0.8048183011834951,add_replace,427
4,elasticnet,28,-0.023450014362650373,0.3556055465124053,89.85597377780817,0.1452862912831056,0.35178802934189235,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.6000000000000001, 'pca__n_components': 28}",0.729570343466697,add_replace,427
5,svr,20,0.026799885924018496,0.3872443726188265,87.5699683180073,0.1406963870713502,0.5551654674239775,"{'pca__n_components': 20, 'svr__alpha': 0.1901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.711009509741855,add_replace,427
6,big,xD,,0.8847429168208294,546.1234567901234,0.11815720589128408,,,0.09803249435319102,add_replace,427
0,knn,24,0.82984014007101,0.894051407968742,659.5233644859813,0.19229474576336691,0.7580229342079905,"{'knn__n_neighbors': 4, 'pca__n_components': 24}",0.2773580427144615,alignment_to_reference,427
1,dtr,33,0.5832421258676741,0.7405092481817593,959.1214953271028,0.3110994184711562,-0.8265735345291987,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 25, 'pca__n_components': 33}",0.4033519887147944,alignment_to_reference,427
2,lasso,35,0.5611259889411255,0.7267388233029649,1200.5266179079147,0.5455310503127572,0.6940513231522482,"{'lasso__alpha': 0.41000000000000003, 'pca__n_components': 35}",0.5048732628738114,alignment_to_reference,427
3,mlp,25,0.37383609586965527,0.6101243615792193,1368.1077669169085,0.41161092784944614,-0.5549139684887984,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 25}",0.5753483695763626,alignment_to_reference,427
4,elasticnet,30,0.5731245059455778,0.7342095980415863,1303.9484633259024,0.6421975704595067,0.7050348769724949,"{'elasticnet__alpha': 0.41000000000000003, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 30}",0.5483666130167697,alignment_to_reference,427
5,svr,19,0.5635442667256534,0.728244543432954,1285.3533816337483,0.6393179446901514,0.8044051775027794,"{'pca__n_components': 19, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.5405465785191731,alignment_to_reference,427
6,big,xD,,0.970403478993198,598.4012345679013,0.11552859968666614,,,0.07773651306983087,alignment_to_reference,427
0,knn,29,1.1737286997485825,0.7104521670856959,59644.9375,0.04443277204793625,,"{'knn__n_neighbors': 1, 'pca__n_components': 29}",0.3186002566562253,bwa-index,63
1,dtr,38,1.1942318850757874,0.6762801915403545,73855.5625,0.057070410034330867,,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 38}",0.3945079356984806,bwa-index,63
2,lasso,18,1.0357657763723447,0.9403903727127587,43834.2908960711,0.03561481579473351,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.23414587918432966,bwa-index,63
3,mlp,38,17.818153523354198,-27.030255872256994,1156736.637227555,0.9999825412977336,,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100,), 'pca__n_components': 38}",6.178841071035711,bwa-index,63
4,elasticnet,19,1.0503313990653118,0.916114334891147,38584.017020183135,0.029255667798579205,,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 19}",0.20610094067846937,bwa-index,63
5,svr,18,1.0482024452166987,0.9196625913055021,39191.680637774196,0.030071471345048863,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.20934684540466952,bwa-index,63
6,big,xD,,0.9442435405657068,37867.75,0.03522791033483428,,,0.07745118135807033,bwa-index,63
0,knn,31,1.0573012646510935,0.9044978922481774,159.5,0.03564478229093694,,"{'knn__n_neighbors': 1, 'pca__n_components': 31}",0.2670084486411523,combine_variants,62
1,dtr,30,1.1126105199521872,0.8123158000796882,224.3125,0.049476476007464104,,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 30}",0.37550678768538226,combine_variants,62
2,lasso,19,1.1171815830450555,0.804697361591574,236.86243433562768,0.05476667229655162,,"{'lasso__alpha': 0.01, 'pca__n_components': 19}",0.39651580647851253,combine_variants,62
3,mlp,20,19.406078700079878,-29.676797833466463,3833.5150998111667,0.9269343186928711,,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 20}",6.417435232871546,combine_variants,62
4,elasticnet,30,1.1305266475720708,0.7824555873798822,249.74039684489233,0.057362308869885956,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 30}",0.41807395564000266,combine_variants,62
5,svr,19,1.130237355704229,0.7829377404929517,248.4795983671537,0.05692240060450417,,"{'pca__n_components': 19, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.41596333591843454,combine_variants,62
6,big,xD,,0.9373610701638896,215.5,0.05441560345776779,,,0.13942179162255475,combine_variants,62
0,knn,32,0.8558065627739615,0.9102191805951081,320.5669781931464,0.052642465070090134,0.6878785208411333,"{'knn__n_neighbors': 3, 'pca__n_components': 32}",0.23050197175705972,dedup,427
1,dtr,32,0.32763293670335913,0.5813563568152991,625.7943925233645,0.10634119014311391,0.2668519800676689,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 25, 'pca__n_components': 32}",0.4499741121315248,dedup,427
2,lasso,25,0.6017158012597358,0.7520117253126657,685.3446494801997,0.12642138220757534,0.6900459473823235,"{'lasso__alpha': 0.46, 'pca__n_components': 25}",0.49279340601063315,dedup,427
3,mlp,25,-1.7319776410297467,-0.7010426821505971,2222.8326083449497,0.416302090550172,-8.844484757049326,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 25}",1.5983159026463731,dedup,427
4,elasticnet,38,0.5712886210417083,0.7330664998938938,744.5201686761559,0.1380678567711581,0.7216658294727705,"{'elasticnet__alpha': 0.9600000000000001, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 38}",0.5353432467063186,dedup,427
5,svr,21,0.5756769541246882,0.7357988582285795,732.3669710653874,0.13545543103748023,0.6531093851288883,"{'pca__n_components': 21, 'svr__alpha': 0.0801, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.5266045549414187,dedup,427
6,big,xD,,0.9989927104686078,194.08641975308643,0.04203032986438593,,,0.031684301195000326,dedup,427
0,knn,29,1.2044827928259858,0.6591953452900238,964.0625,0.19968322442851982,,"{'knn__n_neighbors': 1, 'pca__n_components': 29}",0.6146091703274239,faidx,63
1,dtr,38,1.185634639752796,0.6906089337453403,959.8125,0.19685174997918617,,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 38}",0.6118997101276012,faidx,63
2,lasso,18,1.1113341549826399,0.8144430750289336,790.6947534070275,0.17077986040788437,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.5040837563682232,faidx,63
3,mlp,38,5.111477414765401,-5.852462357942335,5256.067028739666,0.9961873245189938,,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100,), 'pca__n_components': 38}",3.350848099287146,faidx,63
4,elasticnet,19,1.1110988516833216,0.8148352471944641,797.8973864393957,0.17600744682079633,,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 19}",0.5086755793176656,faidx,63
5,svr,18,1.1156758571467091,0.8072069047554847,809.7510285257795,0.17674859849796892,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.5162325137779008,faidx,63
6,big,xD,,0.6659508783935844,668.5416666666666,0.14987289674500529,,,0.2994894959355658,faidx,63
0,knn,33,1.1584016007715532,0.7465574387655148,214.375,0.05888502319152798,,"{'knn__n_neighbors': 1, 'pca__n_components': 33}",0.40568311181418526,filtering_indel,62
1,dtr,36,1.5090170493598287,0.18557272102427402,412.2791666666667,0.11719205744823763,,"{'dtr__criterion': 'mse', 'dtr__max_depth': 5, 'pca__n_components': 36}",0.7801968292454459,filtering_indel,62
2,lasso,31,1.186339039535244,0.7018575367436096,185.07897319711523,0.04673570450290955,,"{'lasso__alpha': 0.060000000000000005, 'pca__n_components': 31}",0.3502433295765826,filtering_indel,62
