,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
0,knn,20,0.10993269196442601,0.3821020340910065,86.04918032786885,0.12872776772203257,-0.699296536657041,"{'knn__n_neighbors': 5, 'pca__n_components': 20}",0.6756959516993702,add_replace,488
1,dtr,28,-0.6088607541981681,-0.11689506903013314,119.86065573770492,0.18626543533523449,-1.006249810252957,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 28}",0.9411985046389685,add_replace,488
2,lasso,36,0.16084543451707967,0.41744641735069987,88.94272119080212,0.1343853751693807,-0.7033616080778968,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 36}",0.6984173052289575,add_replace,488
3,elasticnet,33,0.1728149967803273,0.42575586553345035,88.96185337549694,0.13559369678986458,-0.7195769002934836,"{'elasticnet__alpha': 0.11, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 33}",0.6985675395449173,add_replace,488
4,svr,19,0.1673372391203225,0.42195312467857093,88.56432139780502,0.13525919116709811,-0.72165629867207,"{'pca__n_components': 19, 'svr__alpha': 0.1101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.6954459438832967,add_replace,488
0,knn,21,0.7530750921649485,0.8273533164730534,1251.9322580645162,0.21580232462705828,-0.4173327581988684,"{'knn__n_neighbors': 5, 'pca__n_components': 21}",0.3178688089948615,alignment_to_reference,495
1,dtr,26,0.42644969911135777,0.5989810904355835,1411.241935483871,0.21374731718888454,-0.5576421402292369,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 26}",0.35831794439850906,alignment_to_reference,495
2,lasso,26,0.5287080484237248,0.6704787980848808,1989.7459469425917,0.502475573386563,-0.633514858301349,"{'lasso__alpha': 0.46, 'pca__n_components': 26}",0.5052015955997523,alignment_to_reference,495
3,elasticnet,24,0.3968907181729492,0.5783138354705173,2096.511140670039,0.4374102300439002,-0.5856108578560073,"{'elasticnet__alpha': 0.51, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 24}",0.532309551923776,alignment_to_reference,495
4,svr,18,0.4860313508139771,0.6406398062601791,2018.720769208548,0.4654505398267703,-0.6225956486997368,"{'pca__n_components': 18, 'svr__alpha': 0.1901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.5125583772348515,alignment_to_reference,495
