,dataset,resource,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,read_sum,continuous,knn,47,0.7410760557343791,0.7414266212641988,0.098101548914943,0.30258171481351903,0.7377419406624879,"{'knn__n_neighbors': 4, 'pca__n_components': 47}"
1,ShorterThan1.2Kms,read_sum,continuous,lasso,37,0.6572594294587103,0.6577234770385636,0.13120244784418594,0.543555881498088,0.6585634155784125,"{'lasso__alpha': 0.01, 'pca__n_components': 37}"
2,ShorterThan1.2Kms,read_sum,continuous,elasticnet,42,0.6941642289541017,0.6945783099284148,0.118211088896611,0.48415698986956723,0.6931755236438278,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 42}"
3,ShorterThan1.2Kms,read_sum,continuous,svr,31,0.6938818525286262,0.6942963158215446,0.11604407450145506,0.48666173247145467,0.6866811447745748,"{'pca__n_components': 31, 'svr__alpha': 0.0101, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ShorterThan1.2Kms,write_sum,continuous,knn,30,0.563200001807292,0.5637913994983245,0.0804612186417317,0.16128714692400337,0.5577903527678588,"{'knn__n_neighbors': 10, 'pca__n_components': 30}"
1,ShorterThan1.2Kms,write_sum,continuous,lasso,15,0.4826044314163911,0.48330495006537644,0.12368897549359477,0.2555177479466955,0.4828338036928668,"{'lasso__alpha': 0.01, 'pca__n_components': 15}"
2,ShorterThan1.2Kms,write_sum,continuous,elasticnet,54,0.5215211331528706,0.5221689612165886,0.10883068071683488,0.22628508709309503,0.5227401231770812,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 54}"
3,ShorterThan1.2Kms,write_sum,continuous,svr,26,0.512012353862054,0.512673056170599,0.11265716600365337,0.23502243436244855,0.5121612361586073,"{'pca__n_components': 26, 'svr__alpha': 0.040100000000000004, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
0,ShorterThan1.2Kms,cpu_mean,continuous,knn,55,-0.030578425116852825,-0.029183091546423068,4.460197671618271e-05,6.5029487313751e-05,-0.05850241048676219,"{'knn__n_neighbors': 29, 'pca__n_components': 55}"
1,ShorterThan1.2Kms,cpu_mean,continuous,lasso,42,-0.001356755779682084,-9.863755656702722e-07,4.489808204264049e-05,6.56227215518334e-05,-5.5423124669884416e-05,"{'lasso__alpha': 0.36000000000000004, 'pca__n_components': 42}"
2,ShorterThan1.2Kms,cpu_mean,continuous,elasticnet,39,-0.001356755779682084,-9.863755656702722e-07,4.489808204264049e-05,6.56227215518334e-05,-5.8062565322369863e-05,"{'elasticnet__alpha': 0.41000000000000003, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 39}"
3,ShorterThan1.2Kms,cpu_mean,continuous,svr,29,-0.0013866240017788023,-3.081415810712862e-05,6.7648246633909e-05,0.00011112580111109062,-1.7342691891464312e-05,"{'pca__n_components': 29, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ShorterThan1.2Kms,cpu_max,continuous,knn,55,-0.030578425116852825,-0.029183091546423068,4.460197671618271e-05,6.5029487313751e-05,-0.05929523218013011,"{'knn__n_neighbors': 29, 'pca__n_components': 55}"
1,ShorterThan1.2Kms,cpu_max,continuous,lasso,42,-0.001356755779682084,-9.863755656702722e-07,4.489808204264049e-05,6.56227215518334e-05,-5.5423124670328505e-05,"{'lasso__alpha': 0.36000000000000004, 'pca__n_components': 42}"
2,ShorterThan1.2Kms,cpu_max,continuous,elasticnet,39,-0.001356755779682084,-9.863755656702722e-07,4.489808204264049e-05,6.56227215518334e-05,-5.806256532270293e-05,"{'elasticnet__alpha': 0.41000000000000003, 'elasticnet__l1_ratio': 0.30000000000000004, 'pca__n_components': 39}"
3,ShorterThan1.2Kms,cpu_max,continuous,svr,26,-0.0014040118898590581,-4.81785041617222e-05,2.4220900222680446e-05,2.426585814804169e-05,-4.308889060811172e-05,"{'pca__n_components': 26, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ShorterThan1.2Kms,memory_mean,continuous,knn,10,0.5663031694318783,0.5668903656435709,0.1434101296228998,2.3644352270862967,0.5545710998706911,"{'knn__n_neighbors': 10, 'pca__n_components': 10}"
1,ShorterThan1.2Kms,memory_mean,continuous,lasso,17,0.5306422525201091,0.5312777312043497,0.15974989803738707,2.7548025830954366,0.5267509624955324,"{'lasso__alpha': 0.01, 'pca__n_components': 17}"
2,ShorterThan1.2Kms,memory_mean,continuous,elasticnet,52,0.5603712215641337,0.5609664492325268,0.15111213070163676,2.636047878109736,0.5544909227721437,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 52}"
3,ShorterThan1.2Kms,memory_mean,continuous,svr,26,0.5558409106118334,0.5564422720152264,0.14917102560090897,2.5305188763701003,0.5493789601925758,"{'pca__n_components': 26, 'svr__alpha': 0.0901, 'svr__loss': 'epsilon_insensitive', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}"
0,ShorterThan1.2Kms,memory_max,continuous,knn,18,0.47625775336745657,0.4769668649897921,0.16542486595160477,1.9323232938470982,0.46431218176962397,"{'knn__n_neighbors': 16, 'pca__n_components': 18}"
1,ShorterThan1.2Kms,memory_max,continuous,lasso,17,0.4177265916649264,0.418514950526336,0.18561017241406222,2.369125881177462,0.41158113292455273,"{'lasso__alpha': 0.01, 'pca__n_components': 17}"
2,ShorterThan1.2Kms,memory_max,continuous,elasticnet,34,0.43596785523375636,0.43673151665651955,0.18142012285221415,2.2999816412581726,0.4295099920780631,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.6000000000000001, 'pca__n_components': 34}"
