,dataset,resource,pipeline,name,pca,accuracy,balanced_accuracy,f1_micro,f1_macro,params
0,ShorterThan1.2Kms,read_sum,classifier_10,knn,53,0.4745902035684928,0.47187447997736565,0.4745902035684928,0.4676805349441443,"{'knn__n_neighbors': 19, 'pca__n_components': 53}"
1,ShorterThan1.2Kms,read_sum,classifier_10,mlp,20,0.4786760794932547,0.475457038782384,0.47867607949325464,0.4244618969587965,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 101, 'pca__n_components': 20}"
2,ShorterThan1.2Kms,read_sum,classifier_10,svc,36,0.44253179246651514,0.4406136854078643,0.44253179246651514,0.3777439913105266,"{'pca__n_components': 36, 'svc__C': 0.5, 'svc__degree': 7, 'svc__kernel': 'linear'}"
0,ShorterThan1.2Kms,write_sum,classifier_10,knn,25,0.8718630627145689,0.4744898074614306,0.8718630627145689,0.4929079982716815,"{'knn__n_neighbors': 15, 'pca__n_components': 25}"
1,ShorterThan1.2Kms,write_sum,classifier_10,mlp,43,0.8693245007494802,0.47528956905057573,0.8693245007494802,0.4939931225417574,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 101, 'pca__n_components': 43}"
2,ShorterThan1.2Kms,write_sum,classifier_10,svc,27,0.8634737198394662,0.48458118271459094,0.8634737198394662,0.49419693610645155,"{'pca__n_components': 27, 'svc__C': 0.6, 'svc__degree': 9, 'svc__kernel': 'linear'}"
0,ShorterThan1.2Kms,cpu_mean,classifier_10,knn,41,0.9999516464387602,0.5,0.9999516464387602,0.49998791131742465,"{'knn__n_neighbors': 3, 'pca__n_components': 41}"
1,ShorterThan1.2Kms,cpu_mean,classifier_10,mlp,47,0.9999516464387602,0.5,0.9999516464387602,0.49998791131742465,"{'mlp__activation': 'logistic', 'mlp__hidden_layer_sizes': 1, 'pca__n_components': 47}"
2,ShorterThan1.2Kms,cpu_mean,classifier_10,svc,7,0.9999516464387602,0.5,0.9999516464387602,0.49998791131742465,"{'pca__n_components': 7, 'svc__C': 0.5, 'svc__degree': 3, 'svc__kernel': 'poly'}"
0,ShorterThan1.2Kms,cpu_max,classifier_10,knn,41,0.9999516464387602,0.5,0.9999516464387602,0.49998791131742465,"{'knn__n_neighbors': 3, 'pca__n_components': 41}"
