,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
0,knn,30,0.10993269196442601,0.3821020340910065,86.04918032786885,0.12872776772203257,0.38049849494429744,"{'knn__n_neighbors': 5, 'pca__n_components': 30}",0.6756959516993702,add_replace,488
1,dtr,30,-0.45715522253880003,-0.011578832175695775,114.18032786885246,0.18038952830641694,-0.1621835608751443,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 30}",0.8965940757451161,add_replace,488
2,lasso,36,0.16084543451707944,0.41744641735069976,88.94272119080209,0.1343853751693807,0.42258773747856815,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 36}",0.6984173052289573,add_replace,488
3,elasticnet,27,0.1722210207793321,0.4253435185575528,88.93261658867435,0.13541551493138318,0.4622128094851682,"{'elasticnet__alpha': 0.11, 'elasticnet__l1_ratio': 0.1, 'pca__n_components': 27}",0.6983379594557002,add_replace,488
4,svr,19,0.15412535818415662,0.4127812403923071,89.30229778982283,0.13511000991782515,0.43472246124487796,"{'pca__n_components': 19, 'svr__alpha': 0.1401, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.7012408585894702,add_replace,488
5,big,xD,,0.30329440948192743,102.21311475409836,0.14767679224460756,,,0.667543069064074,add_replace,488
0,knn,21,0.7530750921649485,0.8273533164730534,1251.9322580645162,0.21580232462705828,0.7554054995976905,"{'knn__n_neighbors': 5, 'pca__n_components': 21}",0.3178688089948615,alignment_to_reference,495
1,dtr,26,0.42644969911135777,0.5989810904355835,1411.241935483871,0.21374731718888454,0.42661689805193853,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 26}",0.35831794439850906,alignment_to_reference,495
2,lasso,36,0.5284491344759363,0.6702977688205733,1985.062619088768,0.5005683696490495,0.6316411396199224,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 36}",0.5040124866544098,alignment_to_reference,495
3,elasticnet,35,0.5160375577348676,0.6616197558146228,1981.62068124152,0.47823383603650543,0.6336249666553964,"{'elasticnet__alpha': 0.36000000000000004, 'elasticnet__l1_ratio': 0.8, 'pca__n_components': 35}",0.5031385698133896,alignment_to_reference,495
4,svr,17,0.5241214418323434,0.6672719024193621,2000.090031344539,0.4985899165250221,0.6260752018369602,"{'pca__n_components': 17, 'svr__alpha': 0.1101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}",0.5078279851410464,alignment_to_reference,495
5,big,xD,,0.18101931478386213,1498.6451612903227,0.3699487252970105,,,0.5181305469896883,alignment_to_reference,495
0,knn,30,1.313717649775941,0.7609770287421401,54408.0,0.04465746124917336,,"{'knn__n_neighbors': 1, 'pca__n_components': 30}",0.43884430217224124,bwa-index,88
1,dtr,35,2.4450446308070166,-0.10098638537677451,103871.63636363637,0.0950201012655433,,"{'dtr__criterion': 'poisson', 'pca__n_components': 35}",0.837808332882826,bwa-index,88
2,lasso,22,1.2014383032752889,0.8465231975045417,46821.09177503084,0.0364870065559598,,"{'lasso__alpha': 0.01, 'pca__n_components': 22}",0.3776497821451969,bwa-index,88
3,elasticnet,26,1.1963144153062755,0.8504271121475997,45514.037621570606,0.035693504677831195,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 26}",0.36710733860975014,bwa-index,88
4,svr,19,92.98980415423893,-69.08746983180109,1222233.4751152908,0.9999996392950926,,"{'pca__n_components': 19, 'svr__alpha': 0.1201, 'svr__loss': 'huber', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",9.858296509309719,bwa-index,88
5,big,xD,,-0.6475956471729041,138545.5,0.12863840967639464,,,1.18160586909166,bwa-index,88
0,knn,28,1.1939463992983852,0.8614668576440105,248.63636363636363,0.05362804235247118,,"{'knn__n_neighbors': 1, 'pca__n_components': 28}",0.3443066658274039,combine_variants,85
1,dtr,34,1.3862320959455532,0.724119931467462,259.04545454545456,0.05383058393560636,,"{'dtr__criterion': 'mse', 'pca__n_components': 34}",0.3587209668282221,combine_variants,85
