workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	read_sum	write_sum	cpu_max	cpu_mean	memory_mean	memory_max	execTimeMs
soykb	238.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon®	2.2	4	2	1	16824102912	10232627200	6591475712	1233399808	15590703104	323481600	4912263168	535261184	5771005952	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	0.8056206088992974	0.9110070257611241	0.9859484777517564	0.9203747072599532	0.11007025761124123	0.32786885245901637	6090.0
soykb	238.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon®	3.1	4	2	1	16824107008	12298129408	4525977600	1077084160	15747022848	120651776	3350663168	381517824	3852832768	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.18501170960187352	0.16276346604215458	0.5866510538641686	0.17096018735362997	0.21311475409836067	0.1451990632318501	3691.0
soykb	446.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon®	3.1	4	2	1	16824107008	7210647552	9613459456	1348255744	15475851264	348450816	7413452800	974123008	8736026624	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.8501170960187353	0.927400468384075	0.9074941451990632	0.8805620608899298	0.06323185011709602	0.24355971896955503	6582.0
soykb	446.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon®	2.2	4	2	1	15767138304	9258885120	6508253184	1224560640	14542577664	90583040	5247873024	341291008	5679747072	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	0.9578454332552693	0.9718969555035128	0.1920374707259953	0.7892271662763466	0.4637002341920375	0.7072599531615925	7974.0
soykb	446.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	20202561536	13156454400	5483253760	27875762176	2768896	6272225280	1897807872	8172802048	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.7564402810304449	0.7552693208430914	0.01639344262295082	0.43793911007025765	0.8313817330210773	0.9484777517564403	6616.0
soykb	238.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	23558475776	9800540160	1816485888	31542530048	2768896	6662504448	1848016896	8513290240	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.6323185011709601	0.6440281030444964	0.10070257611241218	0.28454332552693207	0.6440281030444964	0.7154566744730679	4828.0
soykb	238.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	19046002688	14313013248	6321610752	27037405184	2768896	6663467008	1859334144	8525570048	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.7330210772833723	0.46487119437939106	0.03278688524590164	0.2505854800936768	0.7166276346604215	0.6756440281030445	4973.0
soykb	238.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon®	2.2	4	2	1	16824102912	4684263424	12139839488	1526714368	15297388544	340971520	9604292608	1077710848	11022974976	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	0.9250585480093677	0.7716627634660422	0.6545667447306792	0.936768149882904	0.9648711943793912	0.7939110070257611	9376.0
soykb	238.0	picard-wrapper	7	3	2	dedup	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	4216401920	4040798208	837320704	7419879424	430080	3307487232	219697152	3527614464	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.5995316159250585	0.5140515222482436	0.3243559718969555	0.42857142857142855	0.8243559718969555	0.5035128805620609	4778.0
soykb	134.0	picard-wrapper	7	3	2	dedup	AMD	EPYC 7B12	2.25	4	2	1	16824086528	8313688064	8510398464	3217506304	13606580224	103284736	5243990016	340131840	5687406592	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	0.14988290398126464	0.026932084309133488	0.6908665105386418	0.19906323185011712	0.2412177985948478	0.16861826697892274	3418.0
