workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	read_sum	write_sum	cpu_max	cpu_mean	memory_mean	memory_max	execTimeMs
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	13529399296	3294707712	973467648	15850639360	72708096	2357645312	288976896	2719330304	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.8523246281766015	0.6288207050005855	0.82058789085373	0.433423117461061	0.8263262677128469	0.934067220986064	56730.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5417816064	11406290944	1182715904	15641391104	143212544	9917616128	566800384	10627629056	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.22040051528282	0.12513174844829605	0.6624897528984658	0.47839325447944725	0.5221922941796463	0.47833469961353786	39844.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	13493837824	3330269184	1002692608	15821414400	75202560	2358689792	291975168	2725867520	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.13139711910059726	0.06277081625483077	0.6018269118163719	0.528867548893313	0.4433774446656517	0.31063356364913924	37467.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	11383787520	5440319488	1056927744	15767179264	90636288	4334665728	365019136	4790321152	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.40168638013818947	0.2239138072373814	0.4330717882656049	0.46843892727485653	0.8950696802904321	0.8910879494085958	43557.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824090624	13509255168	3314835456	989417472	15834673152	72765440	2358575104	287657984	2718998528	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.0729593629230589	0.043916149432017805	0.54461880782293	0.4868251551703947	0.2734512237966975	0.213842370300972	35047.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	11381567488	5442539520	1057820672	15766286336	91176960	4335329280	366034944	4792541184	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.31596205644689074	0.14966623726431666	0.5628293711207402	0.4557910762384354	0.8365148143810751	0.7797165944489987	41401.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	13518733312	3305373696	983318528	15840788480	73228288	2357665792	289124352	2720018432	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.11769528047780771	0.06277081625483077	0.6213842370300973	0.7798337041808174	0.4562595151657103	0.5331420541046961	36445.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5429661696	11394445312	1181605888	15642501120	139567104	9913864192	563142656	10616573952	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.20096029980091346	0.10610141702775501	0.4981262442909006	0.4046141234336574	0.5262911347933013	0.41808174259280945	38951.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824090624	13497331712	3326758912	1000370176	15823720448	73285632	2358603776	288317440	2720206848	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.238435413982902	0.1122496779482375	0.47007846352031857	0.4738259749385174	0.7319358238669633	0.48735214896357887	39502.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5423157248	11400949760	1183916032	15640190976	140783616	9915392000	564736000	10620911616	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.00960299800913456	0.7817074598899169	0.54461880782293	0.9011593863450053	0.08537299449584261	0.1185150486005387	30117.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824090624	13483831296	3340259328	1008844800	15815245824	75325440	2359492608	291467264	2726285312	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.030214310809228248	0.01616114299098255	0.6559901627825272	0.7421243705351915	0.20915798102822344	0.17999765780536361	32722.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	11379507200	5444599808	1058373632	15765733376	91664384	4335484928	367644672	4794793984	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.22520201428738726	0.10610141702775501	0.7970488347581685	0.6157629699027989	0.718936643635086	0.6458601709802084	39435.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5431173120	11392933888	1182220288	15641886720	138936320	9912975360	561876992	10613788672	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.06558144981847992	0.033493383300152245	0.6898348752781357	0.6018269118163719	0.2708748096966858	0.20277550064410352	34520.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	13508890624	3315216384	991674368	15832432640	73756672	2357825536	290504704	2722086912	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.6483194753484014	0.36380138189483546	0.54461880782293	0.3124487644923293	0.9867666003044853	0.9674434945543975	46508.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5430317056	11393789952	1184600064	15639506944	138035200	9912627200	560996352	10611658752	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.30928680173322404	0.16207986883710035	0.3966506616699848	0.3917320529335988	0.5512355076706874	0.48378030214310813	41612.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	11380559872	5443547136	1052680192	15771426816	93138944	4336803840	369233920	4799176704	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.21103173673732287	0.10610141702775501	0.6970371237849865	0.5231291720341961	0.641527110902916	0.37744466565171564	38865.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7274975232	9549127680	1211494400	15612608512	152485888	8067440640	509206528	8729133056	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.2626771284693758	0.20394659796229067	0.587246750204942	0.6798219932076356	0.4689073662021314	0.3350509427333412	42802.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	13089980416	3734122496	1073164288	15750938624	91463680	2630643712	328781824	3050889216	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.020025764141000116	0.018913221688722334	0.6294648085255885	0.8970605457313503	0.09310223679587773	0.033493383300152245	33714.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7274786816	9549316096	1209737216	15614365696	152743936	8068268032	509517824	8730529792	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.11066869656868486	0.07817074598899168	0.9070734278018503	0.9071319826677597	0.23539056095561542	0.19943787328727017	38769.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	13081849856	3742253056	1080213504	15743889408	91963392	2630881280	329285632	3052130304	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.8150837334582504	0.9141585665768825	0.5176835695046258	0.3567162431198032	0.9862981613772105	0.9968380372408947	52242.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7283838976	9540263936	1210081280	15614021632	151175168	8063864832	505765888	8720805888	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.44080103056564	0.27983370418081743	0.7034196041691065	0.5686263028457664	0.5396416442206348	0.5184447827614475	45856.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7252717568	9571385344	1215557632	15608545280	155811840	8075599872	515874816	8747286528	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.2965218409649842	0.20804543857594568	0.5795760627708162	0.6164656282937112	0.4870593746340321	0.3909708396767771	43877.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	12915982336	3908120576	1119993856	15704109056	140328960	2652839936	391823360	3184992256	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.9149783346996135	0.7013701838622789	0.6294648085255885	0.6821641878440099	0.7608619276261858	0.926045204356482	63531.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7105470464	9718632448	1248190464	15575912448	176091136	8123547648	565923840	8865562624	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.1217941210914627	0.11330366553460593	0.6213842370300973	0.6189249326619042	0.2459304368192997	0.21068040754186673	38901.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7084118016	9739984896	1251131392	15572971520	179478528	8131665920	573173760	8884318208	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.3781473240426279	0.2832884412694695	0.7970488347581685	0.6212671272982785	0.5511183979388687	0.622496779482375	45605.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10425114624	6398971904	1045012480	15779074048	133689344	5214478336	395165696	5743333376	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.5109497599250498	0.3218760979037358	0.6898348752781357	0.590350158098138	0.8710621852675957	0.7562360932193465	46524.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7099887616	9724215296	1251938304	15572164608	176349184	8123936768	566906880	8867192832	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.19358238669633449	0.13936058086426983	0.8067103876332123	0.7320529335987821	0.3426630753015576	0.2992153647968146	41639.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7098822656	9725280256	1248567296	15575535616	177135616	8126169088	568262656	8871567360	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.5162196978568919	0.853729944958426	0.6898348752781357	0.45028691884295585	0.8942499121677011	0.8431900690947418	46363.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	12930351104	3893751808	1112965120	15711137792	137895936	2651734016	388485120	3178115072	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.015458484600070266	0.013818948354608267	0.4049654526291135	0.8533786157629699	0.05984307295936293	0.0927509076004216	32793.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	12931543040	3892559872	1113923584	15710179328	137072640	2651238400	387022848	3175333888	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.2243822461646563	0.7608619276261858	0.5074950228363977	0.6197447007846352	0.4706640121794121	0.33364562595151653	40352.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10428489728	6395596800	1046253568	15777832960	132472832	5213569024	392228864	5738270720	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.5163368075887107	0.3218760979037358	0.5939220049186088	0.4321349104110551	0.8935472537767889	0.854549713081157	46761.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10425376768	6398709760	1046032384	15778054144	133292032	5214167040	394407936	5741867008	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.213842370300972	0.13672561189834875	0.7615060311511886	0.7222157161260101	0.38962407776086194	0.370945075535777	41960.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10432262144	6391824384	1044770816	15779315712	131670016	5213016064	391462912	5736148992	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.03571846820470781	0.03735800445016981	0.7321700433306008	0.8070031619627591	0.11465042745052115	0.1422883241597377	35014.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7097028608	9727074304	1245196288	15578906624	178180096	8128421888	570249216	8876851200	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.5877737439981262	0.887808876917672	0.6624897528984658	0.5060311511886638	0.46586251317484484	0.5317952921887809	48074.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10408030208	6416056320	1049268224	15774818304	137302016	5218107392	401772544	5757181952	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.9154467736268884	0.7013701838622789	0.8114533317718703	0.7805363625717296	0.7711675840262326	0.9492914861224968	63329.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	12916494336	3907608576	1110188032	15713914880	142360576	2653908992	394608640	3190878208	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.38002107975172733	0.28387398992856305	0.7213959480032791	0.5381192177069914	0.5596674083616349	0.6076823984073076	45349.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10372849664	6451236864	1064734720	15759351808	141328384	5224542208	408854528	5774725120	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.2577585197329898	0.20804543857594568	0.41802318772690006	0.5184447827614475	0.4151539992973416	0.2974587188195339	43723.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	12909010944	3915091968	1116733440	15707369472	142815232	2654040064	394784768	3191640064	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.5369481203888042	0.3294882304719522	0.6018269118163719	0.5052113830659328	0.945543974704298	0.8805480735449116	46719.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	12910075904	3914027008	1113198592	15710904320	143630336	2654433280	396070912	3194134528	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.12624429090057382	0.11330366553460593	0.54461880782293	0.5918725846117813	0.2644337744466565	0.23117461061014172	38536.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	7082151936	9741950976	1251831808	15572271104	179736576	8132505600	573300736	8885542912	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.5045087246750205	0.3218760979037358	0.587246750204942	0.5332006089706054	0.799273919662724	0.7581684037943554	47667.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10402615296	6421471232	1050611712	15773474816	138432512	5219110912	404176896	5761720320	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.19369949642815318	0.14310809228246868	0.9351797634383417	0.8858180114767538	0.3517976343834172	0.3564820236561658	41490.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824102912	12917788672	3906314240	1111683072	15712419840	141996032	2653691904	394387456	3190075392	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.24148026701018854	0.14310809228246868	0.47581684037943556	0.5139946129523364	0.49607682398407305	0.462115001756646	41748.0
soykb	446.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	2.8	4	2	1	16824086528	10406400000	6417686528	1052356608	15771729920	136912896	5217677312	400912384	5755502592	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.42393722918374516	0.27421243705351916	0.9904555568567749	0.9335987820587891	0.7691767185853144	0.7067572315259397	45258.0
