workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	read_sum	write_sum	cpu_max	cpu_mean	memory_mean	memory_max	execTimeMs
montage2	0.01	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.8	4	4	1	16824102912	13269262336	3554840576	1193492480	15630610432	269209600	2074820608	418082816	2762113024	0	0	0	15.68	3.92	110.0	54565744000	13641436000.0	0.140625	0.165625	0.165625	0.165625	0.475	0.475	400.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.2	4	4	1	16824102912	12987613184	3836489728	1211490304	15612612608	316973056	2197327872	515686400	3029987328	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	0.440625	0.440625	0.6	0.48125	0.5625	0.75625	5909.0
montage2	1.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	3.1	4	4	1	16824107008	7512764416	9311342592	1385811968	15438295040	337973248	7085805568	933478400	8357257216	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.71875	0.684375	0.875	0.74375	0.7875	0.803125	28369.0
montage	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8175M	2.5	2	1	1	8257200128	6389002240	1868197888	665096192	7592103936	2768896	1374785536	172265472	1549819904	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.140625	0.165625	0.165625	0.165625	0.115625	0.096875	1148.0
montage2	0.01	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	3.1	4	4	1	16824107008	8057618432	8766488576	1081794560	15742312448	180211712	7371882496	535576576	8087670784	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.140625	0.165625	0.165625	0.165625	0.38125	0.38125	287.0
montage	2.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	27284832256	6074183680	1320411136	32038604800	2768896	4615868416	790032384	5408669696	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.703125	0.775	0.875	0.86875	0.26875	0.25625	38024.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8175M	2.5	8	8	1	33359015936	28156608512	5202407424	1434390528	31924625408	2768896	3375259648	988958720	4366987264	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.440625	0.440625	0.6	0.36875	0.7	0.721875	5415.0
montage	0.25	mBgModel	5	2	1	mBgModel	AMD	EPYC 7B12	2.25	4	2	1	16824102912	13138747392	3685355520	1291206656	15532896256	309538816	1980153856	513998848	2803691520	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.140625	0.165625	0.165625	0.165625	0.065625	0.046875	1096.0
montage2	1.0	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	8	8	1	33359015936	18685313024	14673702912	2315145216	31043870720	2768896	10687193088	2473504768	13163466752	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.871875	0.821875	0.875	0.7	0.88125	0.996875	40075.0
montage	2.0	mBgModel	5	2	1	mBgModel	AMD	EPYC 7B12	2.25	4	2	1	16824102912	13329776640	3494326272	1343488000	15480614912	319291392	1651441664	602312704	2573045760	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.75625	0.88125	0.6	0.94375	0.05	0.23125	43414.0
montage	0.25	mBgModel	5	2	1	mBgModel	AMD	EPYC 7B12	2.25	4	2	1	16824102912	14328795136	2495307776	1081032704	15743070208	67411968	1511665664	243949568	1823027200	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.140625	0.165625	0.165625	0.165625	0.240625	0.221875	1103.0
montage	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.0	2	1	1	4140863488	1952559104	2188304384	841781248	3299082240	68100096	1392472064	195473408	1656045568	0	0	0	9.71	2.4275	110.0	22335336000	5583834000.0	0.140625	0.165625	0.165625	0.165625	0.240625	0.221875	1025.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	3.1	4	4	1	16824107008	10588299264	6235807744	1179439104	15644667904	290910208	4545015808	621752320	5457678336	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.340625	0.340625	0.6	0.35	0.5125	0.575	3822.0
montage2	0.01	mBgModel	5	2	1	mBgModel	Intel®	Xeon® Platinum 8259CL	2.5	2	2	1	8257200128	4998455296	3258744832	1017188352	7240011776	2768896	2115276800	605925376	2723971072	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.140625	0.165625	0.165625	0.165625	0.0375	0.0375	419.0
montage2	0.25	mBgModel	5	2	1	mBgModel	Intel®	Xeon®	2.2	4	4	1	15767138304	11430215680	4336922624	1114255360	14652882944	245096448	2907639808	467587072	3620323328	0	0	0	23.520000000000003	3.92	110.0	77133096000	12855516000.0	0.440625	0.440625	0.6	0.50625	0.628125	0.6875	5407.0
