,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
35870,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon®,2.8,4,4,1,16824102912,13276942336,3547160576,1187057664,15637045248,268955648,2074460160,417390592,2760806400,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.175,0.209375,0.209375,0.209375,0.36875,0.36875,126.0
21885,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon®,2.2,4,4,1,16824102912,12685430784,4138672128,1437712384,15386390528,294596608,2246336512,601333760,3142266880,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.41875,0.41875,0.753125,0.559375,0.64375,0.65625,3610.0
48322,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon®,3.1,4,4,1,16824107008,9496289280,7327817728,1455312896,15368794112,348803072,4760027136,1244852224,6353682432,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.88125,0.88125,0.80625,0.9375,0.89375,0.728125,39349.0
19462,montage,0.25,mConcatFit,3,18,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,6178562048,2078638080,683200512,7573999616,2768896,1562300416,191541248,1756610560,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.175,0.209375,0.209375,0.209375,0.284375,0.240625,679.0
81443,montage2,0.01,mConcatFit,3,2,1,mConcatFit,Intel®,Xeon®,3.1,4,4,1,16824107008,12225794048,4598312960,1104769024,15719337984,142864384,3357163520,394805248,3894833152,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.175,0.209375,0.209375,0.209375,0.40625,0.40625,100.0
15590,montage,2.0,mConcatFit,3,863,1,mConcatFit,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,30273249280,3085766656,1314201600,32044814336,2768896,1732968448,684478464,2420215808,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.6875,0.6875,0.5625,0.7375,0.24375,0.290625,8866.0
12944,montage2,0.25,mConcatFit,3,142,1,mConcatFit,Intel®,Xeon® Platinum 8175M,2.5,8,8,1,33359015936,28222083072,5136932864,1400291328,31958724608,2768896,3347345408,985292800,4335407104,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.175,0.209375,0.209375,0.209375,0.43125,0.43125,1981.0
27113,montage,0.25,mConcatFit,3,18,1,mConcatFit,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11484749824,5339353088,1355997184,15468105728,317104128,3355553792,722448384,4395106304,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.378125,0.209375,0.209375,0.209375,0.284375,0.240625,157.0
2258,montage2,1.0,mConcatFit,3,1138,1,mConcatFit,Intel®,Xeon® Platinum 8175M,2.5,8,8,1,33359015936,27360542720,5998473216,2127302656,31231713280,2768896,2596327424,2075385856,4674482176,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.7375,0.73125,0.5125,0.7625,0.76875,1.0,13780.0
67966,montage,2.0,mConcatFit,3,863,1,mConcatFit,AMD,EPYC 7B12,2.25,4,2,1,16824102912,10091888640,6732214272,1343365120,15480737792,324730880,4752846848,734588928,5812166656,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.74375,0.75,0.6,0.81875,0.025,0.15625,21660.0
