,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
21534,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,7487647744,9336455168,1306107904,15517995008,318382080,7246884864,942776320,8508043264,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.47540983606557374,0.48477751756440285,0.8395784543325527,0.585480093676815,0.6135831381733021,0.19672131147540983,127844.0
19087,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,13413064704,3411042304,1022959616,15801147392,105820160,2366046208,310628352,2782494720,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.07259953161592506,0.0585480093676815,0.9250585480093677,0.901639344262295,0.31615925058548006,0.3864168618266979,83313.0
18752,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,7185612800,9638494208,1354690560,15469416448,348450816,7420538880,985387008,8754376704,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.0702576112412178,0.05620608899297424,0.490632318501171,0.747072599531616,0.01639344262295082,0.18969555035128807,82207.0
27208,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,8237854720,7529283584,2235138048,13532000256,106213376,5202038784,366333952,5674586112,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.7259953161592506,0.7704918032786885,0.4215456674473068,0.4215456674473068,0.18501170960187352,0.25526932084309134,196753.0
15057,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,19450228736,13908787200,6128963584,27230052352,2768896,6367936512,1907015680,8277721088,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.9297423887587821,0.9437939110070258,0.9695550351288057,0.10304449648711944,0.5831381733021077,0.9648711943793912,270156.0
18782,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,24576458752,8782557184,1801461760,31557554176,2768896,5674188800,1839910912,7516868608,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.4918032786885246,0.48711943793911006,0.9859484777517564,0.5058548009367682,0.9484777517564403,0.9976580796252928,130225.0
18810,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,21197266944,12161748992,4156600320,29202415616,2768896,6666407936,1878867968,8548044800,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.892271662763466,0.9133489461358313,0.9672131147540983,0.1592505854800937,0.901639344262295,0.8735362997658079,250903.0
21382,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,10203242496,6620860416,1249443840,15574659072,323481600,4917891072,542154752,5783527424,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.3044496487119438,0.3044496487119438,0.7939110070257611,0.8056206088992974,0.35362997658079626,0.5913348946135831,111901.0
22643,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4579778560,3677421568,827879424,7429320704,40960,2959302656,217387008,3176730624,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.7166276346604215,0.702576112412178,0.11592505854800937,0.351288056206089,0.08665105386416862,0.07259953161592506,189492.0
75063,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11448823808,5375279104,1198252032,15625850880,97521664,4149284864,325763072,4572569600,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.5878220140515222,0.5925058548009368,0.4496487119437939,0.2388758782201405,0.7236533957845434,0.8360655737704918,163638.0
74902,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,8272527360,8551579648,1322831872,15501275136,338141184,6479646720,862814208,7680602112,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.10070257611241218,0.08782201405152225,0.7435597189695551,0.9039812646370023,0.3770491803278688,0.702576112412178,84874.0
27760,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4579667968,3677532160,818102272,7439097856,458752,2975264768,209620992,3185344512,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.6955503512880563,0.6885245901639344,0.06791569086651054,0.37939110070257615,0.04918032786885246,0.011709601873536299,190176.0
81014,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,12897292288,3926810624,1157378048,15666724864,118927360,2691670016,368652288,3179249664,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,0.32084309133489464,0.32084309133489464,0.5058548009367682,0.6229508196721312,0.33489461358313816,0.4402810304449649,110661.0
28270,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,4348121088,3909079040,1073967104,7183233024,2768896,2556252160,576684032,3135705088,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.6721311475409836,0.6557377049180327,0.15339578454332553,0.3723653395784543,0.11241217798594848,0.04449648711943793,182556.0
39931,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,10017341440,6806765568,1340645376,15483461632,348446720,4672413696,913108992,5933969408,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.18735362997658078,0.1920374707259953,0.7939110070257611,0.6112412177985949,0.30210772833723654,0.1288056206088993,90519.0
18824,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,5116010496,11708096512,1424695296,15399411712,323858432,9682288640,700477440,10706624512,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.053864168618266976,0.06323185011709602,0.5925058548009368,0.936768149882904,0.2576112412177986,0.37470725995316156,83514.0
6628,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,7296557056,9527545856,1213542400,15610560512,147591168,8057978880,498188288,8703758336,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,0.16393442622950818,0.15456674473067916,0.5538641686182669,0.8384074941451991,0.4590163934426229,0.4332552693208431,89782.0
54909,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824086528,10184105984,6639980544,1091567616,15732518912,147881984,5420367872,377700352,5945950208,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.37470725995316156,0.3629976580796253,0.36885245901639346,0.45433255269320844,0.6042154566744731,0.7939110070257611,114197.0
45631,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,13458767872,3365339136,1003532288,15820574720,91426816,2362261504,302821376,2756509696,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.16861826697892274,0.18266978922716628,0.8981264637002342,0.990632318501171,0.37939110070257615,0.37002341920374704,91347.0
35712,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824840192,7611572224,9213267968,1146785792,15678054400,169041920,7768158208,499871744,8437071872,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,0.26229508196721313,0.2693208430913349,0.5058548009367682,0.6580796252927401,0.1053864168618267,0.40046838407494145,106203.0
54967,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824102912,9257730048,7566372864,2030698496,14793404416,175452160,5297135616,451293184,5923880960,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.5807962529274004,0.5807962529274004,0.32552693208430916,0.34192037470725994,0.6182669789227166,0.8571428571428571,158663.0
55111,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824086528,9569689600,7254396928,2142871552,14681214976,147464192,4983996416,379822080,5511282688,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.5245901639344263,0.5339578454332553,0.42974238875878223,0.33957845433255274,0.3840749414519906,0.4894613583138173,141455.0
74930,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824090624,7150022656,9674067968,1437483008,15386607616,336343040,7701331968,604426240,8642101248,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.07728337236533958,0.08196721311475409,0.7435597189695551,0.9765807962529274,0.351288056206089,0.7330210772833723,85618.0
29132,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,7239233536,9584869376,3362557952,13461544960,332763136,5491630080,861786112,6686179328,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.7775175644028103,0.7517564402810305,0.3864168618266979,0.19437939110070257,0.9297423887587821,0.5667447306791569,191629.0
74873,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,10012139520,6811967488,1338085376,15486021632,348446720,4675284992,918093824,5941825536,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.11475409836065573,0.09367681498829039,0.7435597189695551,0.629976580796253,0.7002341920374707,0.82903981264637,84948.0
19022,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824107008,13406662656,3417444352,1019211776,15804895232,109842432,2367991808,314638336,2792472576,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.08665105386416862,0.10070257611241218,0.6990632318501171,0.9836065573770492,0.22014051522248246,0.22014051522248246,84866.0
80783,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,12983439360,3840663552,1141907456,15682195456,93593600,2680840192,336687104,3111120896,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,0.2388758782201405,0.2388758782201405,0.6206088992974239,0.674473067915691,0.18032786885245902,0.24824355971896955,103006.0
15028,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,24541253632,8817762304,1795096576,31563919360,2768896,5685161984,1862459392,7550390272,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.9039812646370023,0.8782201405152225,0.9836065573770492,0.17798594847775173,0.990632318501171,0.946135831381733,239972.0
15259,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,18421579776,14937436160,7343603712,26015412224,2768896,6231166976,1886167040,8120102912,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.9742388758782201,0.9742388758782201,0.24824355971896955,0.09367681498829039,0.946135831381733,0.9344262295081966,304393.0
18516,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4907098112,3350102016,740741120,7516459008,2768896,2673278976,320348160,2996396032,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.6206088992974239,0.6276346604215457,0.15339578454332553,0.42622950819672134,0.5011709601873536,0.7798594847775177,177428.0
27413,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,7841382400,7925755904,2453917696,13313220608,91885568,5407444992,343715840,5843046400,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.594847775175644,0.6065573770491803,0.43676814988290397,0.45667447306791564,0.00468384074941452,0.7564402810304449,175863.0
70896,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824840192,12647952384,4176887808,1004535808,15820304384,101421056,3120156672,344051712,3565629440,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,0.41217798594847777,0.3840749414519906,0.7939110070257611,0.5597189695550351,0.8056206088992974,0.6229508196721312,120081.0
10390,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,24891424768,8467591168,2711781376,30647234560,2768896,4476608512,1807126528,6286503936,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.9508196721311475,0.936768149882904,0.3325526932084309,0.15456674473067916,0.9695550351288057,0.9320843091334895,261173.0
73813,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,9462620160,7361482752,1792995328,15031107584,196239360,5303128064,451006464,5950373888,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.6861826697892272,0.6955503512880563,0.3114754098360656,0.22482435597189696,0.7868852459016393,0.20843091334894612,185920.0
81293,soykb,82.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,6268035072,10556067840,1254187008,15569915904,332664832,8709353472,668020736,9710039040,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.13114754098360656,0.12646370023419204,0.6990632318501171,0.8852459016393442,0.4918032786885246,0.8454332552693208,86792.0
27539,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,11653607424,4113530880,1193570304,14573568000,103952384,2854547456,350654464,3309154304,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.6440281030444964,0.6323185011709601,0.3594847775175644,0.43559718969555034,0.6885245901639344,0.7962529274004685,181420.0
73512,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,12784885760,4039217152,1178185728,15645917184,101531648,2805903360,345223168,3252658176,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.8618266978922716,0.8313817330210773,0.382903981264637,0.18032786885245902,0.9227166276346604,0.17798594847775173,223501.0
55024,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824086528,9757679616,7066406912,2088484864,14735601664,151760896,4829773824,379965440,5361500160,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.8501170960187353,0.8454332552693208,0.17798594847775173,0.04449648711943793,0.8852459016393442,0.7540983606557377,230437.0
10274,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,23633010688,9726005248,1803554816,31555461120,2768896,6637740032,1809956864,8450465792,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.9156908665105387,0.8735362997658079,0.9882903981264637,0.14754098360655737,0.9859484777517564,0.9742388758782201,237916.0
22708,soykb,56.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5733040128,2524160000,728231936,7528968192,2768896,1900732416,271695872,2175197184,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.6814988290398126,0.6768149882903981,0.14168618266978922,0.414519906323185,0.5597189695550351,0.19906323185011712,186790.0
53904,soykb,654.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,13236994048,3587108864,1067462656,15756640256,108236800,2465230848,337674240,2911141888,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.23653395784543324,0.23653395784543324,0.5269320843091335,0.6814988290398126,0.6791569086651055,0.9859484777517564,103419.0
19144,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824090624,7156174848,9667915776,1219469312,15604621312,162271232,8163700736,524935168,8850907136,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.02810304449648712,0.02576112412177986,0.667447306791569,0.9718969555035128,0.2997658079625293,0.648711943793911,79403.0
