,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
28254,soykb,238.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4450877440,3806322688,850264064,7406936064,425984,3065921536,222277632,3288625152,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.29032258064516125,0.27419354838709675,0.08064516129032258,1.0,0.016129032258064516,0.016129032258064516,38064.0
39875,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,3.1,4,2,1,16824107008,3644436480,13179670528,1415520256,15408586752,321544192,11166224384,715464704,12203233280,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.08064516129032258,0.11290322580645162,0.4838709677419355,0.903225806451613,0.3709677419354838,0.3870967741935484,28883.0
13569,soykb,82.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,16824840192,12258238464,4566601728,1030492160,15794348032,124469248,3412107264,393674752,3930251264,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,0.5967741935483871,0.5967741935483871,0.9838709677419355,0.43548387096774194,0.7419354838709676,0.717741935483871,52428.0
27517,soykb,446.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,15767138304,11418185728,4348952576,1271967744,14495170560,155197440,2880782336,429600768,3465580544,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.8225806451612904,0.8387096774193549,0.5645161290322581,0.7419354838709676,0.3870967741935484,0.3064516129032258,56043.0
14869,soykb,238.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26290589696,7068426240,1858457600,31500558336,2768896,3929358336,1819025408,5751152640,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.4032258064516129,0.4032258064516129,0.0967741935483871,0.41935483870967744,0.9838709677419355,0.967741935483871,39586.0
35790,soykb,446.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,16824840192,11676102656,5148737536,1212100608,15612739584,236732416,3567681536,544104448,4348518400,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.6451612903225806,0.8387096774193549,0.8709677419354839,53272.0
50969,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,16824102912,10184306688,6639796224,1316950016,15507152896,318377984,4542803968,936841216,5798023168,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.8387096774193549,0.8225806451612904,0.967741935483871,0.3870967741935484,0.7903225806451613,0.717741935483871,62016.0
75112,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.8,4,2,1,16824102912,10560462848,6263640064,1014366208,15809736704,105988096,5188722688,345542656,5640253440,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,0.27419354838709675,0.3064516129032258,0.6129032258064516,0.532258064516129,0.5,0.43548387096774194,36152.0
74857,soykb,238.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,3.1,4,2,1,16824107008,8757669888,8066437120,1259683840,15564423168,323022848,6276755456,630427648,7230205952,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.20967741935483872,0.22580645161290325,0.5483870967741935,0.5483870967741935,0.3387096774193548,0.7419354838709676,32169.0
18737,soykb,238.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,22933090304,10425925632,2322157568,31036858368,2768896,6706831360,1916542976,8626143232,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.41935483870967744,0.41935483870967744,0.14516129032258063,0.22580645161290325,0.9516129032258064,0.9516129032258064,44654.0
29054,soykb,82.0,gatk-wrapper,13,10,1,select_variants_snp,AMD,EPYC 7B12,2.25,4,2,1,16824102912,10797404160,6026698752,1434574848,15389528064,340750336,3838722048,901382144,5080854528,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.6774193548387096,0.6774193548387096,0.22580645161290325,0.14516129032258063,0.6451612903225806,0.6370967741935484,52705.0
22701,soykb,56.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5039181824,3218018304,726454272,7530745856,2768896,2566545408,310206464,2879520768,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.25806451612903225,0.25806451612903225,0.4516129032258065,0.6935483870967742,0.14516129032258063,0.16129032258064516,41061.0
45547,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,3.1,4,2,1,16824107008,5306220544,11517886464,1218338816,15605768192,169013248,9939341312,596783104,10705137664,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.11290322580645162,0.08064516129032258,0.5887096774193548,0.8548387096774194,0.4516129032258065,0.5967741935483871,28781.0
27670,soykb,56.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.8,4,2,1,16824102912,6037975040,10786127872,1424236544,15399866368,332627968,8717725696,721231872,9771585536,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.22580645161290325,0.20967741935483872,0.4838709677419355,0.6612903225806451,0.532258064516129,0.532258064516129,35174.0
8510,soykb,82.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,15767138304,8195756032,7571382272,1154408448,14612729856,297619456,5939257344,587649024,6824525824,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,0.6935483870967742,0.6935483870967742,0.9516129032258064,0.5967741935483871,0.27419354838709675,0.24193548387096775,55170.0
27653,soykb,82.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,2227380224,6029819904,736194560,7521005568,2768896,5368545280,311521280,5682835456,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.1774193548387097,0.1774193548387097,0.06451612903225806,0.9354838709677419,0.0967741935483871,0.12903225806451613,35129.0
27713,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11042242560,5781860352,1326215168,15497887744,338505728,3687706624,886292480,4912504832,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.5161290322580645,0.5161290322580645,0.6451612903225806,0.20967741935483872,0.6290322580645161,0.4032258064516129,49272.0
29344,soykb,56.0,gatk-wrapper,13,10,1,select_variants_snp,AMD,EPYC 7B12,2.25,4,2,1,16824102912,12344860672,4479242240,1307750400,15516352512,83324928,3156754432,318554112,3558633472,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.7096774193548387,0.7096774193548387,0.532258064516129,0.1935483870967742,0.7258064516129032,0.4838709677419355,54611.0
18446,soykb,56.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4024061952,4233138176,730284032,7526916096,2768896,3598761984,294973440,3896504320,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.3225806451612903,0.3225806451612903,0.016129032258064516,0.6774193548387096,0.11290322580645162,0.08064516129032258,40721.0
18802,soykb,446.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,3.1,4,2,1,16824107008,7158665216,9665441792,1361211392,15462895616,348450816,7432138752,994267136,8774856704,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.16129032258064516,0.16129032258064516,0.5161290322580645,0.7580645161290324,0.5161290322580645,0.9193548387096775,31365.0
22242,soykb,56.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,16824102912,13122428928,3701673984,1238302720,15585800192,321736704,2094436352,461447168,2877620224,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.6129032258064516,0.6129032258064516,0.8709677419354839,0.4516129032258065,0.7096774193548387,0.6774193548387096,53644.0
39655,soykb,238.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,16824840192,6632669184,10192171008,1099935744,15724904448,148795392,8860073984,445198336,9454067712,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,0.5806451612903225,0.5645161290322581,0.9354838709677419,0.3064516129032258,0.5967741935483871,0.5806451612903225,53617.0
73763,soykb,446.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.8,4,2,1,16824102912,9229987840,7594115072,1952776192,14871326720,207839232,5336260608,479158272,6023258112,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.9838709677419355,0.9838709677419355,0.20161290322580644,0.0967741935483871,0.903225806451613,0.903225806451613,93188.0
28973,soykb,82.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,3.1,4,2,1,16824107008,9110286336,7713820672,1258889216,15565217792,327426048,5802328064,754188288,6883942400,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.12903225806451613,0.12903225806451613,0.43548387096774194,0.5645161290322581,0.4032258064516129,0.5483870967741935,31227.0
81329,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.2,4,2,1,15767138304,9604411392,6162726912,1412767744,14354370560,341458944,3938787328,946958336,5227204608,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.7741935483870968,0.7580645161290324,1.0,0.3548387096774194,0.24193548387096775,0.1935483870967742,55455.0
10711,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4924260352,3332939776,732065792,7525134336,2768896,2667741184,319725568,2990235648,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.14516129032258063,0.14516129032258063,0.4838709677419355,0.967741935483871,0.08064516129032258,0.0967741935483871,33787.0
18489,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5143756800,3113443328,723079168,7534120960,2768896,2493997056,261693440,2758459392,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.3387096774193548,0.3387096774193548,0.4032258064516129,0.7258064516129032,0.12903225806451613,0.14516129032258063,41403.0
73862,soykb,134.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.8,4,2,1,16824102912,10587860992,6236241920,1444421632,15379681280,339554304,4001251328,909520896,5250326528,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.9354838709677419,0.9354838709677419,0.29032258064516125,0.04838709677419355,0.8064516129032258,0.4516129032258065,84630.0
6793,soykb,446.0,gatk-wrapper,13,10,1,select_variants_snp,Intel®,Xeon®,2.8,4,2,1,16824102912,7052595200,9771507712,1255571456,15568531456,182878208,8144789504,581402624,8909070336,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,0.3548387096774194,0.3709677419354838,0.6693548387096775,0.9193548387096775,0.6129032258064516,0.7741935483870968,36679.0
