workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	read_sum	write_sum	cpu_max	cpu_mean	memory_mean	memory_max	execTimeMs
soykb	446.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824102912	13088301056	3735801856	1078190080	15745912832	147054592	2549702656	356544512	3053301760	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	0.12698412698412698	0.11904761904761905	0.42063492063492064	0.6031746031746031	0.39682539682539686	0.5873015873015873	5467.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824086528	13531332608	3292753920	967942144	15856144384	72912896	2359054336	284020736	2715987968	0	0	0	23.520000000000003	3.92	110.0	81848584000	13641430666.666666	0.4920634920634921	0.48412698412698413	0.3492063492063492	0.6190476190476191	0.6984126984126984	0.7777777777777777	6978.0
soykb	82.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824102912	13412204544	3411898368	985358336	15838744576	84824064	2431414272	304091136	2820329472	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	0.09523809523809523	0.11904761904761905	0.5079365079365079	0.6666666666666667	0.28571428571428575	0.2222222222222222	5487.0
soykb	82.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824840192	9104060416	7720779776	1119215616	15705624576	182190080	6318505984	503132160	7003828224	0	0	0	19.6	3.92	110.0	68210780000	13642156000.0	0.7777777777777777	0.5714285714285715	0.33333333333333337	0.5079365079365079	0.5238095238095238	0.7142857142857143	8067.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	11635310592	4131827712	1225768960	14541369344	99057664	2851422208	340787200	3291267072	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	0.8888888888888888	0.873015873015873	0.09523809523809523	0.1746031746031746	0.7142857142857143	0.1111111111111111	11085.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824840192	11865497600	4959342592	1175707648	15649132544	229421056	3485732864	492765184	4207919104	0	0	0	19.6	3.92	110.0	68210772000	13642154400.0	0.20634920634920637	0.48412698412698413	0.6984126984126984	0.4761904761904762	0.2380952380952381	0.5396825396825397	7816.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824086528	13042290688	3781795840	1049595904	15774490624	97275904	2697687040	331210752	3126173696	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	0.28571428571428575	0.11904761904761905	0.746031746031746	0.8412698412698413	0.4603174603174603	0.6825396825396826	5112.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	26320203776	7038812160	1760260096	31598755840	2768896	3965202432	1846464512	5814435840	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.6825396825396826	0.6666666666666667	0.38095238095238093	0.25396825396825395	0.9682539682539683	0.9841269841269842	7342.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824102912	10795773952	6028328960	1434820608	15389282304	340758528	3838861312	903954432	5083574272	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.1111111111111111	0.21428571428571427	0.9523809523809524	0.9682539682539683	0.36507936507936506	0.36507936507936506	5791.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	3.1	4	2	1	16824107008	10017988608	6806118400	1335504896	15488602112	348446720	4673830912	915595264	5937872896	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.5238095238095238	0.753968253968254	0.6031746031746031	0.2698412698412698	0.14285714285714288	0.5555555555555556	8664.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	26361618432	6997397504	1747857408	31611158528	2768896	3954601984	1827049472	5784420352	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.30158730158730157	0.33333333333333337	0.9047619047619048	0.5873015873015873	0.9523809523809524	1.0	5950.0
soykb	82.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824102912	10826317824	5997785088	1420066816	15404036096	340750336	3833733120	892665856	5067149312	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.746031746031746	0.41269841269841273	0.7142857142857143	0.9841269841269842	0.7301587301587301	0.6984126984126984	6299.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	4937875456	3319324672	728219648	7528980480	2768896	2664992768	310337536	2978099200	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.7142857142857143	0.6666666666666667	0.7698412698412699	0.5555555555555556	0.7777777777777777	0.8571428571428571	7068.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824102912	4955021312	11869081600	1521082368	15303020544	340221952	9349414912	1068085248	10757722112	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	0.6984126984126984	0.41269841269841273	0.9841269841269842	1.0	0.6825396825396826	0.4444444444444444	6988.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.8	4	2	1	16824102912	5909868544	10914234368	1499361280	15324741632	331952128	8763645952	730595328	9826193408	0	0	0	15.68	3.92	110.0	54565744000	13641436000.0	0.015873015873015872	0.015873015873015872	0.8888888888888888	0.39682539682539686	0.09523809523809523	0.2380952380952381	4505.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	3.1	4	2	1	16824107008	12231798784	4592308224	1094504448	15729602560	144531456	3357089792	396947456	3898568704	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.07936507936507936	0.2698412698412698	0.28571428571428575	0.07936507936507936	0.1111111111111111	0.4603174603174603	8032.0
soykb	82.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	8458678272	7308460032	1189126144	14578012160	291155968	5686390784	563642368	6541189120	0	0	0	23.520000000000003	3.92	110.0	77133080000	12855513333.333334	0.4603174603174603	0.753968253968254	0.7936507936507937	0.33333333333333337	0.20634920634920637	0.14285714285714288	9077.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824102912	11077128192	5746974720	1319677952	15504424960	338505728	3678638080	867901440	4885045248	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.8095238095238095	0.9841269841269842	0.9682539682539683	0.8888888888888888	0.41269841269841273	0.5238095238095238	6042.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824102912	13431554048	3392548864	992186368	15831916544	73310208	2429628416	288641024	2791579648	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	0.2380952380952381	0.11904761904761905	0.5079365079365079	0.7777777777777777	0.30158730158730157	0.28571428571428575	5164.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	5137485824	3119714304	695795712	7561404416	2768896	2534023168	260108288	2796900352	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.6349206349206349	0.6190476190476191	0.6031746031746031	0.4920634920634921	0.7936507936507937	0.873015873015873	7183.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	3.1	4	2	1	16824090624	10087469056	6736621568	1278984192	15545106432	336863232	4982837248	537673728	5857374208	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.6031746031746031	0.38095238095238093	0.4603174603174603	0.4444444444444444	0.5396825396825397	0.6349206349206349	6094.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824102912	10177429504	6646673408	1347674112	15476428800	317964288	4533719040	924401664	5776084992	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	0.2698412698412698	0.9523809523809524	0.015873015873015872	0.015873015873015872	0.047619047619047616	0.3492063492063492	54054.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824840192	6449905664	10374934528	1034801152	15790039040	187621376	9033433088	517984256	9739038720	0	0	0	19.6	3.92	110.0	68210780000	13642156000.0	0.031746031746031744	0.19047619047619047	0.7301587301587301	0.7619047619047619	0.5555555555555556	0.39682539682539686	5968.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.8	4	2	1	16824102912	10541559808	6282543104	1528311808	15295791104	339296256	3989774336	885862400	5214932992	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	0.9523809523809524	0.9365079365079364	0.047619047619047616	0.047619047619047616	0.873015873015873	0.38095238095238093	13860.0
soykb	82.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	3.1	4	2	1	16824107008	9146400768	7677706240	1237819392	15586287616	327233536	5792485376	749113344	6868832256	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.36507936507936506	0.11904761904761905	0.6746031746031745	0.7936507936507937	0.42857142857142855	0.7936507936507937	4503.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	6199316480	2057883648	804229120	7452971008	425984	1322840064	206217216	1529483264	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.14285714285714288	0.33333333333333337	0.8412698412698413	0.746031746031746	0.06349206349206349	0.06349206349206349	5803.0
soykb	82.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	4905259008	3351941120	754180096	7503020032	2768896	2668236800	317460480	2988466176	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.4761904761904762	0.5873015873015873	0.25396825396825395	0.38095238095238093	0.8253968253968255	0.8888888888888888	7078.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	5700624384	2556575744	748703744	7508496384	2768896	1907113984	279638016	2189520896	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.39682539682539686	0.6031746031746031	0.2698412698412698	0.36507936507936506	0.8412698412698413	0.9047619047619048	7110.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.8	4	2	1	16824102912	12950114304	3873988608	1159340032	15664762880	79446016	2710233088	319291392	3108970496	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	0.7936507936507937	0.7142857142857143	0.15873015873015872	0.1111111111111111	0.7619047619047619	0.2698412698412698	9507.0
soykb	446.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.8	4	2	1	16824086528	13341208576	3482877952	1013989376	15810097152	79761408	2464710656	300191744	2844663808	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	0.4444444444444444	0.48412698412698413	0.6746031746031745	0.41269841269841273	0.5714285714285715	0.8095238095238095	6505.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824102912	10204438528	6619664384	1303572480	15520530432	318377984	4540616704	932921344	5791916032	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	0.5873015873015873	0.5396825396825397	0.7698412698412699	0.6984126984126984	0.5079365079365079	0.6190476190476191	9520.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	10998562816	4768575488	1193271296	14573867008	296534016	3124654080	561164288	3982352384	0	0	0	23.520000000000003	3.92	110.0	77133080000	12855513333.333334	0.5555555555555556	0.48412698412698413	0.4761904761904762	0.9206349206349206	0.4920634920634921	0.1746031746031746	6839.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824086528	12972761088	3851325440	1074438144	15749648384	120913920	2705313792	345296896	3171524608	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	0.2222222222222222	0.03968253968253968	0.6031746031746031	0.8095238095238095	0.4761904761904762	0.8253968253968255	5258.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	10898268160	4868870144	1166086144	14601052160	298782720	3233497088	578981888	4111261696	0	0	0	23.520000000000003	3.92	110.0	77133080000	12855513333.333334	0.6666666666666667	0.5555555555555556	0.6031746031746031	0.5396825396825397	0.2222222222222222	0.15873015873015872	8495.0
soykb	82.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	9342820352	6424317952	1668927488	14098210816	338259968	3961753600	877944832	5177958400	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	0.9365079365079364	0.8492063492063493	0.8174603174603174	0.30158730158730157	0.8095238095238095	0.09523809523809523	10192.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	16824840192	12192952320	4631887872	1093902336	15730937856	126443520	3410587648	395931648	3932962816	0	0	0	19.6	3.92	110.0	68210780000	13642156000.0	0.06349206349206349	0.11904761904761905	0.5079365079365079	0.7142857142857143	0.38095238095238093	0.6507936507936507	5893.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	4943806464	3313393664	781844480	7475355648	2768896	2619047936	300388352	2922205184	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.5396825396825397	0.6666666666666667	0.2380952380952381	0.5238095238095238	0.9365079365079364	0.9365079365079364	6736.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	9618714624	6148423680	1409085440	14358052864	341479424	3938537472	937168896	5217185792	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	0.873015873015873	0.8492063492063493	0.12698412698412698	0.2380952380952381	0.746031746031746	0.19047619047619047	11313.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.8	4	2	1	16824102912	11255332864	5568770048	1397370880	15426732032	332124160	3398340608	850391040	4580855808	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	0.9047619047619048	0.8888888888888888	0.031746031746031744	0.031746031746031744	0.8888888888888888	0.5079365079365079	13842.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	9599954944	6167183360	1456693248	14310445056	339906560	3925983232	924745728	5190635520	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	0.8412698412698413	0.753968253968254	0.19841269841269843	0.4603174603174603	0.5873015873015873	0.12698412698412698	9540.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.8	4	2	1	16824102912	10613575680	6210527232	1441959936	15382142976	339554304	3993440256	893624320	5226618880	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	0.9841269841269842	0.9126984126984127	0.07936507936507936	0.09523809523809523	0.8571428571428571	0.31746031746031744	12558.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	297594880	7959605248	1005355008	7251845120	2768896	6663172096	389988352	7055929344	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	0.38095238095238093	0.6666666666666667	0.4444444444444444	0.5714285714285715	0.07936507936507936	0.031746031746031744	7500.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	5081264128	10685874176	1364275200	14402863104	300908544	8674136064	758059008	9733103616	0	0	0	23.520000000000003	3.92	110.0	77133080000	12855513333.333334	0.9682539682539683	1.0	1.0	0.7301587301587301	0.6507936507936507	0.20634920634920637	8544.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	3.1	4	2	1	16824107008	12364443648	4459663360	1075400704	15748706304	89812992	3343290368	360689664	3793793024	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	0.6190476190476191	0.41269841269841273	0.30952380952380953	0.3492063492063492	0.6349206349206349	0.6666666666666667	6701.0
soykb	238.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	26407919616	6951096320	1801203712	31557812224	2768896	3910434816	1774362624	5687566336	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	0.8253968253968255	0.7936507936507937	0.14285714285714288	0.19047619047619047	0.9841269841269842	0.9523809523809524	8414.0
soykb	134.0	picard-wrapper	3	2	1	seq_dict	Intel®	Xeon®	2.2	4	2	1	15767138304	9384230912	6382907392	1543204864	14223933440	342298624	4053864448	901472256	5297635328	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	0.9206349206349206	0.8253968253968255	0.5555555555555556	0.20634920634920637	0.25396825396825395	0.07936507936507936	10665.0
soykb	56.0	picard-wrapper	3	2	1	seq_dict	AMD	EPYC 7B12	2.25	4	2	1	16824102912	10764648448	6059454464	1486213120	15337889792	340385792	3832852480	891838464	5065076736	0	0	0	13.69	3.4225	110.0	47131832000	11782958000.0	0.6507936507936507	0.48412698412698413	0.6507936507936507	0.9523809523809524	0.6666666666666667	0.4920634920634921	6588.0
