,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
21533,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,16824102912,10229387264,6594715648,1236094976,15588007936,323481600,4912885760,535408640,5771776000,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,665.0
19086,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,6444261376,10379845632,1055133696,15768973312,171917312,9029115904,525053952,9726087168,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,385.0
18751,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,7207952384,9616154624,1350443008,15473664000,348450816,7413682176,973946880,8736079872,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,440.0
27207,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,15767138304,8238927872,7528210432,2236383232,13530755072,105799680,5201682432,365121536,5672603648,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,857.0
15056,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,19902443520,13456572416,5729591296,27629424640,2768896,6320254976,1900503040,8223526912,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,963.0
18781,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,19046821888,14312194048,6322298880,27036717056,2768896,6663856128,1855774720,8522399744,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,578.0
18802,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,23572131840,9786884096,1797300224,31561715712,2768896,6664888320,1850359808,8518017024,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,596.0
21381,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,16824102912,10732036096,6092066816,1524723712,15299379200,310185984,3839852544,899661824,5049700352,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,638.0
22639,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,3758395392,4498804736,1107705856,7149494272,2768896,3090501632,618020864,3711291392,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,603.0
75055,soykb,134.0,picard-wrapper,13,3,2,add_replace,AMD,EPYC 7B12,2.25,4,2,1,16824086528,11313311744,5510774784,1054187520,15769899008,99655680,4413267968,338022400,4850946048,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,556.0
74901,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824090624,7160922112,9663168512,1441361920,15382728704,336343040,7690731520,601464832,8628539392,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,426.0
27759,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4578664448,3678535680,819982336,7437217792,458752,2974388224,209481728,3184328704,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,875.0
81013,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,16824102912,10383855616,6440247296,1063215104,15760887808,114102272,5287510016,370012160,5771624448,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,562.0
28269,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,6986440704,1270759424,788201472,7468998656,454656,577638400,177721344,755814400,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,678.0
39930,soykb,134.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,4764241920,12059865088,1403904000,15420203008,253571072,10144661504,699371520,11097604096,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,506.0
18823,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,5116694528,11707412480,1424384000,15399723008,323837952,9682026496,700620800,10706485248,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,380.0
6627,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.8,4,2,1,16824086528,10616528896,6207557632,1006665728,15817420800,86593536,5175083008,318410752,5580087296,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,457.0
54908,soykb,446.0,picard-wrapper,13,3,2,add_replace,AMD,EPYC 7B12,2.25,4,2,1,16824086528,8617906176,8206180352,2640936960,14183149568,147738624,5420015616,384684032,5952438272,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,522.0
45623,soykb,134.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,13457641472,3366465536,1005731840,15818375168,91168768,2362064896,302264320,2755497984,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,359.0
35711,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,16824840192,11830472704,4994367488,1202573312,15622266880,229609472,3488972800,497115136,4215697408,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,653.0
54966,soykb,446.0,picard-wrapper,13,3,2,add_replace,AMD,EPYC 7B12,2.25,4,2,1,16824086528,11465474048,5358612480,2166546432,14657540096,169111552,2998034432,416428032,3583574016,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,532.0
55110,soykb,446.0,picard-wrapper,13,3,2,add_replace,AMD,EPYC 7B12,2.25,4,2,1,16824086528,8349962240,8474124288,4075581440,12748505088,149659648,4270477312,372150272,4792287232,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,552.0
74922,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,8781000704,8043106304,1247199232,15576907776,322646016,6272147456,625168384,7219961856,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,391.0
29131,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.8,4,2,1,16824102912,9211326464,7612776448,1394806784,15429296128,332763136,5491195904,855859200,6679818240,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,600.0
74872,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,10015457280,6808649728,1335803904,15488303104,348446720,4674969600,916881408,5940297728,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,442.0
19021,soykb,238.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,3.1,4,2,1,16824107008,12284416000,4539691008,1086435328,15737671680,122081280,3351724032,383279104,3857084416,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,386.0
80782,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,16824086528,13468958720,3355127808,1006886912,15817199616,81088512,2362621952,295841792,2739552256,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,543.0
15027,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,19261718528,14097297408,7753736192,25605279744,2768896,4999766016,1878917120,6881452032,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,876.0
15258,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,23563206656,9795809280,1786470400,31572545536,2768896,6680322048,1862418432,8545509376,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,412.0
18515,soykb,134.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4903538688,3353661440,744136704,7513063424,2768896,2673643520,322654208,2999066624,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,684.0
27409,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,15767138304,8478244864,7288893440,1936130048,13831008256,103473152,5259558912,362180608,5725212672,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,840.0
70888,soykb,134.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,16824840192,9472299008,7352541184,1068146688,15756693504,127647744,6115786752,403898368,6647332864,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,546.0
10389,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,24289280000,9069735936,3325677568,30033338368,2768896,4475162624,1809330176,6287261696,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,634.0
73805,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.8,4,2,1,16824102912,10547806208,6276296704,2549796864,14274306048,124739584,3605245952,386473984,4116459520,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,510.0
81289,soykb,82.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.8,4,2,1,16824102912,4774973440,12049129472,1505275904,15318827008,347787264,9604272128,1058041856,11010101248,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,461.0
27538,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.2,4,2,1,15767138304,3175731200,12591407104,7319920640,8447217664,86495232,5244637184,334946304,5666078720,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,1324.0
73511,soykb,446.0,picard-wrapper,13,3,2,add_replace,Intel®,Xeon®,2.8,4,2,1,16824102912,9050021888,7774081024,2325913600,14498189312,165527552,5265616896,393216000,5824360448,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,1038.0
