workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	execTimeMs
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	2.2	4	2	1	16824102912	10634199040	6189903872	1560264704	15263838208	310185984	3912491008	890568704	5113245696	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	6880.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	3.1	4	2	1	16824107008	13188485120	3635621888	1109270528	15714836480	104562688	2505596928	311619584	2921779200	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	4277.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	3.1	4	2	1	16824107008	4997832704	11826274304	1457733632	15366373376	324435968	9760911360	704843776	10790191104	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	1576.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	2.2	4	2	1	15767138304	11648802816	4118335488	1205899264	14561239040	100814848	2853449728	347410432	3301675008	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	23099.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	23484985344	9874030592	1876234240	31482781696	2768896	6673850368	1859657728	8536276992	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	953.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	23901437952	9457577984	3621421056	29737594880	2768896	4529405952	1848066048	6380240896	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	3232.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	22750375936	10608640000	2629365760	30729650176	2768896	6658826240	1850126336	8511721472	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	3050.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	2.2	4	2	1	16824102912	10025824256	6798278656	1323241472	15500861440	323481600	5029408768	536010752	5888901120	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	5817.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon® Platinum 8175M	2.5	2	1	1	8257200128	2002677760	6254522368	1184251904	7072948224	2768896	4749774848	643809280	5396353024	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	1302.0
soykb	134.0	bwa-wrapper	7	11	1	alignment_to_reference	AMD	EPYC 7B12	2.25	4	2	1	16824086528	12827058176	3997028352	1139130368	15684956160	97878016	2822766592	332939264	3253583872	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	4082.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	3.1	4	2	1	16824090624	7069061120	9755029504	1469702144	15354388480	336343040	7753060352	603189248	8692592640	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	1854.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	3792510976	4464689152	941244416	7315955712	1527808	3623862272	225914880	3851304960	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	1916.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	2.2	4	2	1	16824102912	10360938496	6463164416	1140817920	15683284992	98004992	5273882624	344678400	5716566016	0	0	0	23.520000000000003	3.92	110.0	81848584000	13641430666.666666	1079.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon® Platinum 8175M	2.5	2	1	1	8257200128	2765127680	5492072448	1231159296	7026040832	2768896	3961143296	597241856	4561154048	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	1173.0
soykb	134.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	3.1	4	2	1	16824107008	9934499840	6889607168	1369837568	15454269440	348446720	4727156736	912859136	5988462592	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	3857.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	3.1	4	2	1	16824107008	5005119488	11818987520	1459519488	15364587520	324206592	9754583040	702976000	10781765632	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	1565.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	2.8	4	2	1	16824102912	12872318976	3951783936	1170042880	15654060032	83050496	2767351808	319746048	3170148352	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	1741.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	AMD	EPYC 7B12	2.25	4	2	1	16824102912	10268319744	6555783168	1178173440	15645929472	149172224	5257900032	368021504	5775093760	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	717.0
soykb	134.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	3.1	4	2	1	16824107008	5140193280	11683913728	1306230784	15517876224	163168256	10039947264	577318912	10780434432	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	1650.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	2.2	4	2	1	16824840192	7527387136	9297453056	1242583040	15582257152	166891520	7763955712	494174208	8425021440	0	0	0	19.6	3.92	110.0	68210772000	13642154400.0	1224.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	AMD	EPYC 7B12	2.25	4	2	1	16824102912	9113726976	7710375936	2308005888	14516097024	151379968	5261312000	380588032	5793280000	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	928.0
soykb	446.0	bwa-wrapper	7	11	1	alignment_to_reference	AMD	EPYC 7B12	2.25	4	2	1	16824086528	12765499392	4058587136	1152290816	15671795712	146903040	2790096896	366678016	3303677952	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	1609.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	3.1	4	2	1	16824090624	7081861120	9742229504	1465995264	15358095360	336281600	7750148096	594952192	8681381888	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	1881.0
soykb	238.0	bwa-wrapper	7	11	1	alignment_to_reference	Intel®	Xeon®	2.8	4	2	1	16824102912	10630459392	6193643520	1551990784	15272112128	332763136	3917426688	856272896	5106462720	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	14992.0
