,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
28253,soykb,238.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4453666816,3803533312,847925248,7409274880,425984,3065532416,221863936,3287822336,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,6431.0
39874,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,3.1,4,2,1,16824090624,10098065408,6726025216,1280638976,15543451648,335921152,4979769344,531996672,5847687168,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,3504.0
13568,soykb,82.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,16824840192,6396502016,10428338176,1063792640,15761047552,184942592,9030234112,520445952,9735622656,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,4618.0
27516,soykb,446.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,15767138304,9186082816,6581055488,1067802624,14699335680,149340160,5312729088,432091136,5894160384,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,5236.0
14868,soykb,238.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,23043051520,10315964416,2321682432,31037333504,2768896,6661722112,1852391424,8516882432,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,4613.0
35789,soykb,446.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,16824840192,5615280128,11209560064,1339629568,15485210624,264691712,9270673408,755888128,10291253248,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,5688.0
50968,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,16824102912,7510290432,9313812480,1230344192,15593758720,323461120,7623036928,551968768,8498466816,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,4842.0
75111,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.8,4,2,1,16824086528,7158468608,9665617920,1212637184,15611449344,157659136,8177315840,520445952,8855420928,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,3729.0
74856,soykb,238.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,3.1,4,2,1,16824107008,9966034944,6858072064,1355448320,15468658688,348446720,4684353536,937021440,5969821696,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,3530.0
18736,soykb,238.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26260381696,7098634240,1787621376,31571394560,2768896,3974479872,1869209600,5846458368,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,3694.0
29053,soykb,82.0,gatk-wrapper,49,49,2,combine_variants,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11041423360,5782679552,1339953152,15484149760,339464192,3680464896,882630656,4902559744,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,4935.0
22700,soykb,56.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5039648768,3217551360,726683648,7530516480,2768896,2566266880,309723136,2878758912,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,5776.0
45546,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,3.1,4,2,1,16824090624,7421235200,9402855424,1038307328,15785783296,157773824,8157171712,450940928,8765886464,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,3228.0
27669,soykb,56.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.8,4,2,1,16824102912,10500059136,6324043776,1335947264,15488155648,347713536,4192034816,910295040,5450043392,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,3859.0
8509,soykb,82.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,15767138304,4802052096,10965086208,1360691200,14406447104,310239232,8931393536,785379328,10027012096,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,5164.0
27652,soykb,82.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5071679488,3185520640,718352384,7538847744,2768896,2557464576,294801408,2855034880,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,5816.0
27712,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11013869568,5810233344,1348706304,15475396608,339582976,3686674432,895938560,4922195968,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,4452.0
29343,soykb,56.0,gatk-wrapper,49,49,2,combine_variants,AMD,EPYC 7B12,2.25,4,2,1,16824086528,13300137984,3523948544,977100800,15846985728,86654976,2537181184,316219392,2940055552,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,4472.0
18445,soykb,56.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4025868288,4231331840,730161152,7527038976,2768896,3597504512,294305792,3894579200,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,5659.0
18801,soykb,446.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,3.1,4,2,1,16824090624,10009477120,6814613504,1304944640,15519145984,336863232,5006254080,565805056,5908922368,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,3549.0
22241,soykb,56.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,16824102912,10431545344,6392557568,1361432576,15462670336,340197376,4181299200,917192704,5438689280,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,5214.0
39654,soykb,238.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,16824840192,6413090816,10411749376,1033998336,15790841856,193695744,9044885504,539885568,9778466816,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,4689.0
73762,soykb,446.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.8,4,2,1,16824102912,12883054592,3941048320,1127272448,15696830464,142352384,2669486080,398774272,3210612736,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,4106.0
28972,soykb,82.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,3.1,4,2,1,16824107008,9999212544,6824894464,1355128832,15468978176,348446720,4673421312,915841024,5937709056,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,3581.0
81328,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,15767138304,6945026048,8822112256,1396801536,14370336768,342302720,6612193280,926822400,7881318400,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,5179.0
10710,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5040345088,3216855040,727707648,7529492480,2768896,2565505024,312385536,2880659456,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,5899.0
18488,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4887769088,3369431040,739196928,7518003200,2768896,2680532992,340959232,3024261120,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,5876.0
73861,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.8,4,2,1,16824102912,8627011584,8197091328,1404174336,15419928576,331816960,5998194688,874250240,7204261888,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,4269.0
6792,soykb,446.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.8,4,2,1,16824086528,10369863680,6454222848,1056731136,15767355392,143351808,5230010368,412524544,5785886720,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,3959.0
21488,soykb,238.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,16824102912,7443435520,9380667392,1312206848,15511896064,318382080,7264890880,963366912,8546639872,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,5572.0
28039,soykb,446.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,6071025664,2186174464,865243136,7391956992,425984,1361395712,274595840,1636417536,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,5759.0
37820,soykb,238.0,gatk-wrapper,49,49,2,combine_variants,AMD,EPYC 7B12,2.25,4,2,1,16824086528,13089079296,3735007232,1044971520,15779115008,145465344,2561581056,379281408,3086327808,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,4350.0
13395,soykb,134.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,15767138304,8175632384,7591505920,1150316544,14616821760,299098112,5949997056,601354240,6850449408,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,4769.0
37196,soykb,82.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.2,4,2,1,15767138304,6984646656,8782491648,1384095744,14383042560,342282240,6600679424,910872576,7853834240,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,5054.0
72905,soykb,56.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon®,2.8,4,2,1,16824102912,10588569600,6235533312,1469087744,15355015168,339554304,3992862720,892891136,5225308160,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,4603.0
12250,soykb,446.0,gatk-wrapper,49,49,2,combine_variants,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,4786679808,3470520320,1105149952,7152050176,2768896,2058584064,592572416,2653925376,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,6043.0
