,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
28257,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4433825792,3823374336,865828864,7391371264,425984,3066925056,223895552,3291246592,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,4489.0
39878,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,3638439936,13185667072,1418551296,15405555712,322084864,11167150080,715677696,12204912640,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2692.0
13573,soykb,82.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824840192,6397116416,10427723776,1060921344,15763918848,185147392,9031745536,520200192,9737093120,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,3615.0
27520,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,11422433280,4344705024,1267027968,14500110336,155529216,2881011712,429490176,3466031104,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,4029.0
14872,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26361987072,6997028864,1786023936,31572992000,2768896,3933585408,1811447808,5747802112,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,3186.0
35793,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824840192,5601849344,11222990848,1350180864,15474659328,264699904,9271431168,757846016,10293977088,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,3835.0
50972,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824102912,7503572992,9320529920,1234866176,15589236736,323461120,7624765440,552706048,8500932608,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,3692.0
75115,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824086528,7149551616,9674534912,1217888256,15606198272,158384128,8178135040,522670080,8859189248,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,2916.0
74860,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,8762183680,8061923328,1254473728,15569633280,323022848,6277058560,630927360,7231008768,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2660.0
18740,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26252828672,7106187264,1788276736,31570739200,2768896,3980550144,1869455360,5852774400,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,2759.0
29058,soykb,82.0,gatk-wrapper,13,10,2,filtering_indel,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11031678976,5792423936,1348243456,15475859456,339464192,3680829440,884912128,4905205760,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,4180.0
22704,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4928962560,3328237568,727625728,7529574400,2768896,2668691456,316522496,2987982848,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,3981.0
45550,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,5296615424,11527491584,1225580544,15598526464,169181184,9939800064,597536768,10706518016,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2539.0
27673,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824102912,10501009408,6323093504,1334005760,15490097152,347713536,4192231424,910974976,5450919936,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,2946.0
8514,soykb,82.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,4791672832,10975465472,1364971520,14402166784,310259712,8935682048,788582400,10034524160,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,4138.0
27657,soykb,82.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5058109440,3199090688,730959872,7526240256,2768896,2557628416,295469056,2855866368,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,3804.0
27716,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11042328576,5781774336,1325232128,15498870784,338505728,3687956480,886448128,4912910336,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,3722.0
29347,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,AMD,EPYC 7B12,2.25,4,2,1,16824086528,13286129664,3537956864,990109696,15833976832,87187456,2537099264,316477440,2940764160,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,3162.0
18449,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5106163712,3151036416,714141696,7543058432,2768896,2539438080,272748544,2814955520,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,3979.0
18805,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,7162388480,9661718528,1356550144,15467556864,348450816,7432347648,995241984,8776040448,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2759.0
22245,soykb,56.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824102912,10773078016,6051024896,1512198144,15311904768,309911552,3829678080,879751168,5019340800,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,3849.0
39658,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824840192,6407946240,10416893952,1037942784,15786897408,193945600,9045159936,540426240,9779531776,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,3696.0
73766,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824102912,12877070336,3947032576,1132601344,15691501568,142721024,2669522944,398266368,3210510336,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,3059.0
28977,soykb,82.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,3.1,4,2,1,16824107008,9996775424,6827331584,1356668928,15467438080,348446720,4673806336,916647936,5938900992,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,2743.0
81332,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,15767138304,9608183808,6158954496,1408741376,14358396928,341475328,3938951168,946958336,5227384832,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,3851.0
10714,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5029621760,3227578368,737349632,7519850496,2768896,2565758976,313827328,2882355200,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,4101.0
18492,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,5143089152,3114110976,723218432,7533981696,2768896,2494459904,262443008,2759671808,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,3952.0
73865,soykb,134.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824102912,8620720128,8203382784,1407954944,15416147968,331853824,6000005120,874803200,7206662144,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,3130.0
6796,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.8,4,2,1,16824086528,10359910400,6464176128,1062469632,15761616896,144125952,5231845376,414445568,5790416896,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,3031.0
21492,soykb,238.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon®,2.2,4,2,1,16824102912,10185109504,6638993408,1257680896,15566422016,323481600,4921667584,547614720,5792763904,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,3751.0
28043,soykb,446.0,gatk-wrapper,13,10,2,filtering_indel,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4402688000,3854512128,894488576,7362711552,454656,3048001536,229953536,3278409728,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,4330.0
