,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
6350,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824107008,13500743680,3323363328,997265408,15826841600,74715136,2358472704,291254272,2724442112,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,23933.0
6352,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824107008,13492903936,3331203072,1002246144,15821860864,75730944,2358886400,292335616,2726952960,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,19955.0
6353,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824107008,5417472000,11406635008,1186304000,15637803008,142012416,9916669952,565157888,10623840256,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,21383.0
6354,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824090624,13484474368,3339616256,1005891584,15818199040,76406784,2359771136,292073472,2728251392,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,17654.0
6356,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824090624,13481222144,3342868480,1005867008,15818223616,77443072,2360446976,293408768,2731298816,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,18838.0
6357,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824107008,11382452224,5441654784,1052327936,15771779072,92655616,4336521216,368832512,4798009344,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,20703.0
6360,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824107008,13482557440,3341549568,1008709632,15815397376,77279232,2359472128,294236160,2730987520,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,21487.0
6362,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824090624,13460938752,3363151872,1030664192,15793426432,75874304,2359582720,291680256,2727137280,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,16905.0
6363,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824090624,13475291136,3348799488,1009475584,15814615040,78471168,2360803328,294936576,2734211072,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,19426.0
6364,soykb,56.0,gatk-wrapper,11,11,2,genotype_gvcfs,Intel®,Xeon®,3.1,4,2,1,16824107008,13501353984,3322753024,997769216,15826337792,74252288,2358317056,290861056,2723430400,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,20320.0
