workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	execTimeMs
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	13529399296	3294707712	973467648	15850639360	72708096	2357645312	288976896	2719330304	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	56730.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5417816064	11406290944	1182715904	15641391104	143212544	9917616128	566800384	10627629056	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	39844.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	13493837824	3330269184	1002692608	15821414400	75202560	2358689792	291975168	2725867520	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	37467.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	11383787520	5440319488	1056927744	15767179264	90636288	4334665728	365019136	4790321152	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	43557.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824090624	13509255168	3314835456	989417472	15834673152	72765440	2358575104	287657984	2718998528	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	35047.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	11381567488	5442539520	1057820672	15766286336	91176960	4335329280	366034944	4792541184	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	41401.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	13518733312	3305373696	983318528	15840788480	73228288	2357665792	289124352	2720018432	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	36445.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5429661696	11394445312	1181605888	15642501120	139567104	9913864192	563142656	10616573952	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	38951.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824090624	13497331712	3326758912	1000370176	15823720448	73285632	2358603776	288317440	2720206848	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	39502.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	5423157248	11400949760	1183916032	15640190976	140783616	9915392000	564736000	10620911616	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	30117.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824090624	13483831296	3340259328	1008844800	15815245824	75325440	2359492608	291467264	2726285312	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	32722.0
soykb	56.0	gatk-wrapper	17	11	2	haplotype_caller	Intel®	Xeon®	3.1	4	2	1	16824107008	11379507200	5444599808	1058373632	15765733376	91664384	4335484928	367644672	4794793984	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	39435.0
