workflowName	size	executable	args	inputs	outputs	name	cpu.manufacturer	cpu.brand	cpu.speed	cpu.cores	cpu.physicalCores	cpu.processors	mem.total	mem.free	mem.used	mem.active	mem.available	mem.buffers	mem.cached	mem.slab	mem.buffcache	mem.swaptotal	mem.swapused	mem.swapfree	total_cpus	avg_cpus	avg_pods	total_ram_available	average_ram_available	execTimeMs
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	16824102912	10744086528	6080016384	1523159040	15300943872	310185984	3836592128	893145088	5039923200	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	3751.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	13383745536	3440361472	1033441280	15790665728	113467392	2369482752	318439424	2801389568	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2460.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	7283359744	9540747264	1336897536	15487209472	348450816	7387107328	937328640	8672886784	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2609.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	15767138304	8483799040	7283339264	1606066176	14161072128	112979968	5567815680	379461632	6060257280	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	4003.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	20860248064	12498767872	4385878016	28973137920	2768896	6702383104	1919098880	8624250880	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	3573.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	18278998016	15080017920	7023886336	26335129600	2768896	6669598720	1896136704	8568504320	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	3759.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	20363919360	12995096576	4980674560	28378341376	2768896	6667456512	1861709824	8531935232	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	3375.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	16824102912	7487582208	9336520704	1297211392	15526891520	318382080	7251005440	947376128	8516763648	0	0	0	23.520000000000003	3.92	110.0	81848616000	13641436000.0	4198.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	4637249536	3619950592	1041842176	7215357952	2768896	2017988608	881197056	2901954560	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	3969.0
soykb	134.0	gatk-wrapper	11	12	2	indel_realign	AMD	EPYC 7B12	2.25	4	2	1	16824086528	13030879232	3793207296	1054310400	15769776128	100073472	2699149312	334008320	3133231104	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	3052.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	8295194624	8528912384	1320202240	15503904768	338141184	6471495680	851140608	7660777472	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2645.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	6088200192	2168999936	859209728	7397990400	425984	1355403264	259612672	1615441920	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	4128.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	16824086528	13399089152	3424997376	1022279680	15801806848	100950016	2371543040	319213568	2791706624	0	0	0	23.520000000000003	3.92	110.0	81848584000	13641430666.666666	3649.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	6960291840	1296908288	802570240	7454629888	454656	584781824	187740160	772976640	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	3874.0
soykb	134.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	3666624512	13157482496	1410969600	15413137408	320544768	11154931712	711675904	12187152384	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2510.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	5027233792	11796873216	1435992064	15388114944	325640192	9734901760	720232448	10780774400	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2605.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.8	4	2	1	16824102912	13086068736	3738034176	1074040832	15750062080	92917760	2630975488	330244096	3054137344	0	0	0	15.68	3.92	110.0	54565728000	13641432000.0	2754.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	AMD	EPYC 7B12	2.25	4	2	1	16824086528	8417566720	8406519808	2937356288	13886730240	159436800	5277745152	407543808	5844725760	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	4895.0
soykb	134.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	12341370880	4482736128	1060241408	15763865600	105656320	3347881984	372854784	3826393088	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2515.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	16824840192	11697827840	5127012352	1210675200	15614164992	236572672	3561099264	531480576	4329152512	0	0	0	19.6	3.92	110.0	68210772000	13642154400.0	3713.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	AMD	EPYC 7B12	2.25	4	2	1	16824102912	8497102848	8327000064	2892750848	13931352064	154783744	5267881984	393437184	5816102912	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	4346.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	AMD	EPYC 7B12	2.25	4	2	1	16824102912	8870916096	7953186816	2497417216	14326685696	161607680	5277179904	410501120	5849288704	0	0	0	13.69	3.4225	110.0	47131800000	11782950000.0	4653.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	8774197248	8049909760	1255628800	15568478208	322572288	6271533056	624672768	7218778112	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2586.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.8	4	2	1	16824102912	10712522752	6111580160	1596354560	15227748352	332783616	3781582848	865107968	4979474432	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	4255.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	10017013760	6807093248	1332879360	15491227648	348446720	4675477504	918089728	5942013952	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2698.0
soykb	238.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	3.1	4	2	1	16824107008	13364281344	3459825664	1028993024	15795113984	121745408	2374008832	330575872	2826330112	0	0	0	19.6	3.92	110.0	68207180000	13641436000.0	2477.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	16824102912	10662998016	6161104896	995610624	15828492288	79486976	5168291840	310874112	5558652928	0	0	0	23.520000000000003	3.92	110.0	81848584000	13641430666.666666	3585.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8259CL	2.5	8	4	1	33359015936	19814309888	13544706048	5434155008	27924860928	2768896	6692671488	1916469248	8611909632	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	5283.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	18039709696	15319306240	7220097024	26138918912	2768896	6683852800	1907834880	8594456576	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	3775.0
soykb	134.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8259CL	2.5	2	1	1	8257200128	4904071168	3353128960	741793792	7515406336	2768896	2674151424	321650688	2998571008	0	0	0	7.72	1.93	30.5	25340644000	6335161000.0	3622.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	15767138304	10759622656	5007515648	1605320704	14161817600	113405952	3301036032	365232128	3779674112	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	3980.0
soykb	134.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	16824840192	9470652416	7354187776	1068257280	15756582912	127819776	6116450304	404893696	6649163776	0	0	0	19.6	3.92	110.0	68210780000	13642156000.0	3534.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon® Platinum 8175M	2.5	8	4	1	33359015936	19755495424	13603520512	5522698240	27836317696	2768896	6677413888	1907863552	8588046336	0	0	0	17.75	5.916666666666667	44.333333333333336	66543572000	22181190666.666668	3800.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.8	4	2	1	16824102912	11393089536	5431013376	1627283456	15196819456	130719744	3662471168	400510976	4193701888	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	3224.0
soykb	82.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.8	4	2	1	16824102912	6266888192	10557214720	1254580224	15569522688	332664832	8709967872	668311552	9710944256	0	0	0	15.68	3.92	110.0	54565744000	13641436000.0	2772.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.2	4	2	1	15767138304	8542867456	7224270848	1556045824	14211092480	110596096	5565693952	375083008	6051373056	0	0	0	12.7	3.175	110.0	40992952000	10248238000.0	4057.0
soykb	446.0	gatk-wrapper	11	12	2	indel_realign	Intel®	Xeon®	2.8	4	2	1	16824102912	9256558592	7567544320	1947230208	14876872704	111751168	5519192064	376147968	6007091200	0	0	0	12.7	3.175	110.0	43822280000	10955570000.0	3218.0
