,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
7,montage2,0.01,mBackground,5,4,2,mBackground,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4854292480,3402907648,986443776,7270756352,2768896,2388459520,480636928,2871865344,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,487.0
8,montage2,0.01,mBackground,5,4,2,mBackground,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4632096768,3625103360,995786752,7261413376,2768896,2599489536,485806080,3088064512,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,555.0
19,montage2,0.01,mBackground,5,4,2,mBackground,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4604227584,3652972544,1006116864,7251083264,2768896,2616352768,488206336,3107328000,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,562.0
27,montage2,0.01,mBackground,5,4,2,mBackground,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,5282467840,2974732288,878944256,7378255872,2768896,2140233728,318513152,2461515776,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,430.0
28,montage2,0.01,mBackground,5,4,2,mBackground,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4614209536,3642990592,995954688,7261245440,2768896,2616311808,487759872,3106840576,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,420.0
193,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12931702784,2835435520,1115086848,14652051456,190279680,1548980224,378896384,2118156288,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,128.0
194,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,10421411840,5345726464,1177169920,14589968384,203653120,3920093184,452947968,4576694272,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,100.0
195,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12778184704,2988953600,1111781376,14655356928,189726720,1702531072,381116416,2273374208,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,119.0
196,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,8344756224,7422382080,1295953920,14471184384,200028160,5808287744,523489280,6531805184,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,109.0
197,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12920918016,2846220288,1158475776,14608662528,184729600,1528573952,373043200,2086346752,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,129.0
198,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12723683328,3043454976,1112875008,14654263296,190803968,1753071616,385753088,2329628672,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,115.0
199,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12897480704,2869657600,1163788288,14603350016,185208832,1545125888,374349824,2104684544,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,119.0
200,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,10393272320,5373865984,1178316800,14588821504,204308480,3945230336,454426624,4603965440,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,98.0
202,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,10332135424,5435002880,1256992768,14510145536,204029952,3928600576,453603328,4586233856,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,121.0
204,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12742377472,3024760832,1111367680,14655770624,190509056,1736683520,384536576,2311729152,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,97.0
205,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12894306304,2872832000,1117163520,14649974784,191021056,1582596096,381620224,2155237376,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,112.0
207,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,8216203264,7550935040,1308618752,14458519552,200650752,5919739904,528166912,6648557568,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,117.0
209,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12837130240,2930008064,1205526528,14561611776,185671680,1562415104,377802752,2125889536,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,115.0
211,montage,2.0,mBackground,5,4,2,mBackground,Intel®,Xeon®,2.2,4,2,1,15767138304,12639891456,3127246848,1156321280,14610817024,189444096,1799966720,383668224,2373079040,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,119.0
