,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
68311,montage,2.0,mShrink,3,1,1,mShrink,AMD,EPYC 7B12,2.25,4,2,1,16824102912,9148727296,7675375616,1344212992,15479889920,327061504,5663875072,768516096,6759452672,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,1861.0
19478,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,6141763584,2115436544,683720704,7573479424,2768896,1597583360,195194880,1795547136,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,167.0
7916,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon®,3.1,4,2,1,16824107008,8036339712,8787767296,1263321088,15560785920,326004736,6978961408,631627776,7936593920,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,79.0
21483,montage,2.0,mShrink,3,1,1,mShrink,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,5231001600,3026198528,1008676864,7248523264,2768896,1950044160,559996928,2512809984,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1838.0
52517,montage,2.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.2,4,2,1,15767138304,12609908736,3157229568,1215848448,14551289856,258416640,1610919936,469458944,2338795520,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,2299.0
39498,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.2,4,2,1,16824102912,12591218688,4232884224,1086173184,15737929728,161300480,2984038400,381001728,3526340608,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,119.0
69833,montage,2.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.8,4,2,1,16824102912,2005483520,14818619392,1379000320,15445102592,284020736,12735942656,820076544,13840039936,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,1413.0
39833,montage,0.25,mShrink,3,1,1,mShrink,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13928976384,2895126528,1093775360,15730327552,72306688,1883615232,261783552,2217705472,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,99.0
16912,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,31000842240,2358173696,961884160,32397131776,2768896,1680769024,248475648,1932013568,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,85.0
28838,montage,1.0,mShrink,3,1,1,mShrink,AMD,EPYC 7B12,2.25,4,2,1,16824102912,14440062976,2384039936,1063874560,15760228352,124538880,1326497792,287776768,1738813440,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,382.0
37975,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.8,4,2,1,16824102912,14283579392,2540523520,1024630784,15799472128,67100672,1611788288,240226304,1919115264,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,165.0
19694,montage,2.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.8,4,2,1,16824102912,8053542912,8770560000,1244983296,15579119616,236982272,7138697216,550924288,7926603776,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,1299.0
51921,montage,1.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.2,4,2,1,15767138304,12908249088,2858889216,1205137408,14562000896,130957312,1610559488,328994816,2070511616,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,809.0
11258,montage,1.0,mShrink,3,1,1,mShrink,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,31016800256,2342215680,1102553088,32256462848,2768896,1454256128,381530112,1838555136,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,449.0
38517,montage,2.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.2,4,2,1,16824102912,6910496768,9913606144,1344200704,15479902208,304492544,7947403264,760692736,9012588544,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,1964.0
11810,montage,1.0,mShrink,3,1,1,mShrink,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,3565154304,4692045824,937684992,7319515136,2768896,3633070080,583852032,4219691008,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,589.0
27616,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.0,2,1,1,4140879872,1714487296,2426392576,863653888,3277225984,67481600,1612259328,209399808,1889140736,0,0,0,9.71,2.4275,110.0,22335336000,5583834000.0,155.0
11397,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,29642113024,3716902912,1259704320,32099311616,2768896,2339479552,683610112,3025858560,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,115.0
7583,montage,1.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.2,4,2,1,16824102912,9462394880,7361708032,1155833856,15668269056,212819968,5858807808,528134144,6599761920,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,515.0
74368,montage,1.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,3.1,4,2,1,16824090624,10024386560,6799704064,1239511040,15584579584,336883712,5040005120,582983680,5959872512,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,380.0
37611,montage,1.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,3.1,4,2,1,16824107008,9040437248,7783669760,1255911424,15568195584,178253824,6215626752,544952320,6938832896,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,334.0
11354,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,2864271360,5392928768,1162772480,7094427648,2768896,3669008384,900272128,4572049408,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,161.0
72799,montage,1.0,mShrink,3,1,1,mShrink,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13514543104,3309559808,1300135936,15523966976,310075392,1627545600,493064192,2430685184,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,487.0
27129,montage,0.25,mShrink,3,1,1,mShrink,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13500829696,3323273216,1288323072,15535779840,305688576,1696374784,458145792,2460209152,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,179.0
71446,montage,2.0,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.2,4,2,1,16824102912,9200472064,7623630848,1231286272,15592816640,279027712,5888393216,628633600,6796054528,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,2145.0
69291,montage,0.25,mShrink,3,1,1,mShrink,Intel®,Xeon®,2.2,4,2,1,15767138304,13673021440,2094116864,983547904,14783590400,60198912,1220325376,207527936,1488052224,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,106.0
