,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
26521,montage2,1.0,mViewer,17,3,1,mViewer,AMD,EPYC 7B12,2.25,4,4,1,16824102912,2899955712,13924147200,1585860608,15238242304,347799552,11206021120,1294622720,12848443392,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,21407.0
81439,montage2,0.01,mViewer,9,1,1,mViewer,Intel®,Xeon®,3.1,4,4,1,16824090624,8793251840,8030838784,1275994112,15548096512,180592640,6464266240,510779392,7155638272,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,95.0
14057,montage2,0.25,mViewer,9,1,1,mViewer,Intel®,Xeon® Platinum 8259CL,2.5,8,8,1,33359015936,27824898048,5534117888,1406251008,31952764928,2768896,3887788032,817332224,4707889152,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,688.0
67745,montage2,0.01,mViewer,9,1,1,mViewer,AMD,EPYC 7B12,2.25,4,4,1,16824102912,13234143232,3589959680,1164636160,15659466752,274993152,2124906496,420208640,2820108288,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,135.0
21296,montage2,0.25,mViewer,9,1,1,mViewer,Intel®,Xeon®,3.1,4,4,1,16824107008,10606608384,6217498624,1170755584,15653351424,297033728,4520652800,631496704,5449183232,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,490.0
48568,montage2,1.0,mViewer,9,1,1,mViewer,Intel®,Xeon®,3.1,4,4,1,16824107008,8298348544,8525758464,1458343936,15365763072,349274112,5932732416,1272389632,7554396160,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,5188.0
28387,montage2,0.25,mViewer,9,1,1,mViewer,Intel®,Xeon®,2.2,4,4,1,15767138304,11664658432,4102479872,1167282176,14599856128,253493248,2623823872,461131776,3338448896,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,808.0
55277,montage2,0.01,mViewer,17,3,1,mViewer,Intel®,Xeon®,2.2,4,4,1,15767138304,11868340224,3898798080,1213517824,14553620480,276643840,2363371520,440856576,3080871936,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,358.0
46775,montage2,1.0,mViewer,9,1,1,mViewer,Intel®,Xeon®,3.1,4,4,1,16824107008,6313701376,10510405632,1385918464,15438188544,338112512,8261140480,965054464,9564307456,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,6768.0
5753,montage2,1.0,mViewer,9,1,1,mViewer,AMD,EPYC 7B12,2.25,4,4,1,16824102912,2419126272,14404976640,1479135232,15344967680,333615104,11966353408,1134354432,13434322944,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,12202.0
14676,montage2,0.25,mViewer,9,1,1,mViewer,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,3322544128,4934656000,951164928,7306035200,2768896,3877826560,573550592,4454146048,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,623.0
36462,montage2,0.25,mViewer,17,3,1,mViewer,Intel®,Xeon®,2.8,4,4,1,16824102912,13160157184,3663945728,1213472768,15610630144,281530368,2077769728,503808000,2863108096,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,1066.0
54765,montage2,0.25,mViewer,9,1,1,mViewer,Intel®,Xeon®,3.1,4,4,1,16824107008,7869632512,8954474496,1276338176,15547768832,329715712,7023026176,732733440,8085475328,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,548.0
12788,montage2,1.0,mViewer,9,1,1,mViewer,Intel®,Xeon®,2.2,4,4,1,15767138304,7069831168,8697307136,1698660352,14068477952,331300864,6233595904,892379136,7457275904,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,13123.0
27559,montage2,0.01,mViewer,9,1,1,mViewer,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4981948416,3275251712,1009127424,7248072704,2768896,2138468352,607506432,2748743680,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,132.0
7406,montage2,1.0,mViewer,9,1,1,mViewer,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4394799104,3862401024,1080258560,7176941568,2768896,2139877376,711417856,2854064128,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,8456.0
26974,montage2,1.0,mViewer,9,1,1,mViewer,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,1770655744,6486544384,1675591680,6581608448,2768896,4062666752,1184403456,5249839104,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,10714.0
14677,montage2,0.25,mViewer,17,3,1,mViewer,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,2936762368,5320437760,898916352,7358283776,2768896,4344815616,464523264,4812107776,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,1189.0
50362,montage2,1.0,mViewer,17,3,1,mViewer,Intel®,Xeon®,3.1,4,4,1,16824107008,6306865152,10517241856,1384599552,15439507456,338112512,8268578816,965136384,9571827712,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,13621.0
4910,montage2,0.01,mViewer,9,1,1,mViewer,Intel®,Xeon® Platinum 8259CL,2.5,8,8,1,33359015936,29434396672,3924619264,1332105216,32026910720,2768896,2288398336,874745856,3165913088,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,209.0
67442,montage2,0.25,mViewer,9,1,1,mViewer,Intel®,Xeon®,2.2,4,4,1,15767138304,11793948672,3973189632,1200562176,14566576128,288030720,2387378176,498900992,3174309888,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,817.0
14448,montage2,0.25,mViewer,9,1,1,mViewer,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,2836979712,5420220416,898494464,7358705664,2768896,4444905472,464117760,4911792128,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,681.0
