,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
55140,soykb,446.0,picard-wrapper,3,2,1,seq_dict,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13088301056,3735801856,1078190080,15745912832,147054592,2549702656,356544512,3053301760,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,5467.0
81100,soykb,446.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,2.2,4,2,1,16824086528,13531332608,3292753920,967942144,15856144384,72912896,2359054336,284020736,2715987968,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,6978.0
45463,soykb,82.0,picard-wrapper,3,2,1,seq_dict,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13412204544,3411898368,985358336,15838744576,84824064,2431414272,304091136,2820329472,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,5487.0
13526,soykb,82.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,2.2,4,2,1,16824840192,9104060416,7720779776,1119215616,15705624576,182190080,6318505984,503132160,7003828224,0,0,0,19.6,3.92,110.0,68210780000,13642156000.0,8067.0
27468,soykb,446.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,2.2,4,2,1,15767138304,11635310592,4131827712,1225768960,14541369344,99057664,2851422208,340787200,3291267072,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,11085.0
35741,soykb,446.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,2.2,4,2,1,16824840192,11865497600,4959342592,1175707648,15649132544,229421056,3485732864,492765184,4207919104,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,7816.0
75011,soykb,134.0,picard-wrapper,3,2,1,seq_dict,AMD,EPYC 7B12,2.25,4,2,1,16824086528,13042290688,3781795840,1049595904,15774490624,97275904,2697687040,331210752,3126173696,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,5112.0
15288,soykb,446.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26320203776,7038812160,1760260096,31598755840,2768896,3965202432,1846464512,5814435840,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,7342.0
74599,soykb,238.0,picard-wrapper,3,2,1,seq_dict,AMD,EPYC 7B12,2.25,4,2,1,16824102912,10795773952,6028328960,1434820608,15389282304,340758528,3838861312,903954432,5083574272,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,5791.0
74878,soykb,238.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,3.1,4,2,1,16824107008,10017988608,6806118400,1335504896,15488602112,348446720,4673830912,915595264,5937872896,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,8664.0
18758,soykb,238.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,26361618432,6997397504,1747857408,31611158528,2768896,3954601984,1827049472,5784420352,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,5950.0
29011,soykb,82.0,picard-wrapper,3,2,1,seq_dict,AMD,EPYC 7B12,2.25,4,2,1,16824102912,10826317824,5997785088,1420066816,15404036096,340750336,3833733120,892665856,5067149312,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,6299.0
22686,soykb,56.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4937875456,3319324672,728219648,7528980480,2768896,2664992768,310337536,2978099200,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,7068.0
51001,soykb,134.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,2.2,4,2,1,16824102912,4955021312,11869081600,1521082368,15303020544,340221952,9349414912,1068085248,10757722112,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,6988.0
27655,soykb,56.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,2.8,4,2,1,16824102912,5909868544,10914234368,1499361280,15324741632,331952128,8763645952,730595328,9826193408,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,4505.0
45977,soykb,446.0,picard-wrapper,3,2,1,seq_dict,Intel®,Xeon®,3.1,4,2,1,16824107008,12231798784,4592308224,1094504448,15729602560,144531456,3357089792,396947456,3898568704,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,8032.0
