,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,execTimeMs
21530,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,2.2,4,2,1,16824102912,7487442944,9336659968,1309024256,15515078656,318382080,7245242368,941424640,8505049088,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,677.0
19084,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,3.1,4,2,1,16824090624,7188881408,9635209216,1212780544,15611310080,158683136,8151724032,512032768,8822439936,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,343.0
18749,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,3.1,4,2,1,16824107008,7212355584,9611751424,1347973120,15476133888,348450816,7412936704,972537856,8733925376,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,427.0
27205,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,2.2,4,2,1,15767138304,7108993024,8658145280,5740867584,10026270720,102072320,2853728256,353382400,3309182976,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,661.0
15053,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,19056541696,14302474240,6251380736,27107635200,2768896,6684250112,1894789120,8581808128,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,683.0
18778,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,23570235392,9788780544,1807650816,31551365120,2768896,6661443584,1845321728,8509534208,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,510.0
18780,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,23569260544,9789755392,1807355904,31551660032,2768896,6661869568,1846394880,8511033344,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,555.0
21379,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,2.2,4,2,1,16824102912,4683120640,12140982272,1528868864,15295234048,340971520,9603620864,1077555200,11022147584,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,659.0
22637,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4664262656,3592937472,1029455872,7227744256,2768896,2011209728,873308160,2887286784,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,511.0
75033,soykb,134.0,picard-wrapper,7,2,2,sort_sam,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11659526144,5164576768,994725888,15829377024,96653312,4147707904,319168512,4563529728,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,585.0
74898,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,3.1,4,2,1,16824107008,10015526912,6808580096,1335255040,15488851968,348446720,4675084288,917610496,5941141504,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,397.0
27756,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4560703488,3696496640,818163712,7439036416,471040,2994761728,208781312,3204014080,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,620.0
81010,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,2.2,4,2,1,16824102912,13404008448,3420094464,1023492096,15800610816,101130240,2369273856,321826816,2792230912,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,517.0
28267,soykb,238.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,2692943872,5564256256,830660608,7426539520,57344,4810690560,246714368,5057462272,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,473.0
39927,soykb,134.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,3.1,4,2,1,16824107008,2006765568,14817341440,1429516288,15394590720,315658240,12681834496,826073088,13823565824,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,408.0
18820,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,3.1,4,2,1,16824107008,7263789056,9560317952,1341526016,15482580992,348450816,7394222080,945238016,8687910912,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,406.0
6625,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,2.8,4,2,1,16824102912,7367974912,9456128000,1205440512,15618662400,98238464,8052891648,485060608,8636190720,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,420.0
54905,soykb,446.0,picard-wrapper,7,2,2,sort_sam,AMD,EPYC 7B12,2.25,4,2,1,16824086528,11374907392,5449179136,1057382400,15766704128,148946944,4269109248,365453312,4783509504,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,453.0
45601,soykb,134.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,3.1,4,2,1,16824107008,5352984576,11471122432,1216786432,15607320576,163180544,9916329984,576204800,10655715328,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,324.0
35709,soykb,446.0,picard-wrapper,7,2,2,sort_sam,Intel®,Xeon®,2.2,4,2,1,16824832000,11995512832,4829319168,1150582784,15674249216,229179392,3379044352,485216256,4093440000,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,513.0
