,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
0,ShorterThan1.2Kms,continuous_more_res,knn,39,0.854784787988278,0.8550024651030654,51.665804361491226,0.1948867214918475,0.844941610450378,"{'knn__n_neighbors': 5, 'pca__n_components': 39}"
1,ShorterThan1.2Kms,continuous_more_res,dtr,47,0.7475161191066124,0.7478945915955607,66.35742952468449,0.2559753705625432,0.705379462452709,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 47}"
2,ShorterThan1.2Kms,continuous_more_res,lasso,42,0.6924774443895532,0.6929384196669364,96.19349534969386,0.5133912940824944,0.6906296749424976,"{'lasso__alpha': 0.81, 'pca__n_components': 42}"
3,ShorterThan1.2Kms,continuous_more_res,elasticnet,61,0.6960295422526828,0.6964851929473065,96.00664100698611,0.5130657362122603,0.6937358501945687,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 61}"
4,ShorterThan1.2Kms,continuous_more_res,svr,33,-1.0375501130409822e+17,-1.0359948289083805e+17,706510010.574469,4624949.288603414,-1303315607263656.0,"{'pca__n_components': 33, 'svr__alpha': 0.1601, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ShorterThan1.2Kms,4cat_more_res,knn,33,0.841913103560492,0.842222695654774,54.10507833276921,0.20611222072195493,0.8328520612169104,"{'knn__n_neighbors': 4, 'pca__n_components': 33}"
1,ShorterThan1.2Kms,4cat_more_res,dtr,51,0.7471193918185243,0.7476146247496115,66.32055993423916,0.25414902701670894,0.6998257593265131,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 51}"
2,ShorterThan1.2Kms,4cat_more_res,lasso,47,0.7217831909790411,0.722328041479046,89.6335796899657,0.46635711060136364,0.719300822848334,"{'lasso__alpha': 0.81, 'pca__n_components': 47}"
3,ShorterThan1.2Kms,4cat_more_res,elasticnet,80,0.7290613588241972,0.7295919560035506,88.9604246387672,0.46030074500962015,0.7258173739024698,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 80}"
4,ShorterThan1.2Kms,4cat_more_res,svr,41,0.6608319719438412,0.6614961872740448,103.63570999872623,0.5756662478869716,0.6606746951570941,"{'pca__n_components': 41, 'svr__alpha': 0.0901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ShorterThan1.2Kms,5cat_more_res,knn,78,0.8418972002767362,0.8422182910428384,55.85126444562642,0.21733669308992326,0.8349594924560054,"{'knn__n_neighbors': 4, 'pca__n_components': 78}"
1,ShorterThan1.2Kms,5cat_more_res,dtr,55,0.7381461500964784,0.7386779487326791,69.13497896620086,0.26961370884248326,0.7048325659737905,"{'dtr__criterion': 'friedman_mse', 'pca__n_components': 55}"
2,ShorterThan1.2Kms,5cat_more_res,lasso,72,0.7358520901764922,0.7363885478159393,87.56483900194053,0.45066032618899327,0.7274853708121534,"{'lasso__alpha': 0.46, 'pca__n_components': 72}"
