,name,pca,adjusted_r2,r2,mae,mape,best_score,params,rae,job,size
0,knn,26,-0.06318772056847655,0.33058550927170005,83.24770642201835,0.12084219103360434,0.4004442148057808,"{'knn__n_neighbors': 1, 'pca__n_components': 26}",0.6759156371429418,add_replace,427
1,dtr,34,-0.404418347696603,0.11573659589473151,98.25688073394495,0.14533076776807913,-0.5544013954185466,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 25, 'pca__n_components': 34}",0.7977800830726148,add_replace,427
2,lasso,39,-0.03591956044240008,0.3477543508325629,87.35824103600415,0.1392165271045803,0.34502214005430343,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 39}",0.7092904259752678,add_replace,427
3,mlp,25,-0.15341073791742188,0.27377842427421584,99.12372784152963,0.1623119460437993,-1.5598417775806428,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 25}",0.8048183011834941,add_replace,427
4,elasticnet,24,-0.02785071177548848,0.35283473703024804,92.47817754752514,0.1514409270000114,0.5363937974008453,"{'elasticnet__alpha': 0.41000000000000003, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 24}",0.750860882364452,add_replace,427
5,svr,20,-0.08465939211997342,0.3170663086652019,92.81484991220135,0.15081521368905346,0.38722467042641223,"{'pca__n_components': 20, 'svr__alpha': 0.1901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.7535944365446108,add_replace,427
6,big,xD,,0.9834308291235934,291.91358024691357,0.21150360190784154,,,0.058040211569661875,add_replace,427
0,knn,24,0.82984014007101,0.894051407968742,659.5233644859813,0.19229474576336691,0.6003957286059222,"{'knn__n_neighbors': 4, 'pca__n_components': 24}",0.2773580427144615,alignment_to_reference,427
1,dtr,39,0.5527509595932834,0.7215241823882708,1009.9651887053755,0.3282865366889312,0.716957416786439,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 39}",0.42473395641924816,alignment_to_reference,427
2,lasso,39,0.5668471242105947,0.7303010396028231,1200.9510600917029,0.5495649894956319,0.569538744116985,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 39}",0.505051759132898,alignment_to_reference,427
3,mlp,25,0.3738360958696543,0.6101243615792187,1368.107766916909,0.4116109278494459,-0.6369086368073907,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 25}",0.5753483695763628,alignment_to_reference,427
4,elasticnet,22,0.5690535109084824,0.7316748275467909,1331.3474136267166,0.654764842868319,0.7225377517538192,"{'elasticnet__alpha': 0.31000000000000005, 'elasticnet__l1_ratio': 0.8, 'pca__n_components': 22}",0.5598890542782516,alignment_to_reference,427
5,svr,20,0.5436953582774305,0.715885789116136,1397.267403949823,0.6634321990461343,0.6891756430981488,"{'pca__n_components': 20, 'svr__alpha': 0.1901, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}",0.5876112556077265,alignment_to_reference,427
6,big,xD,,0.8153128193044059,1604.7376543209878,0.2175775687300101,,,0.20082336620008134,alignment_to_reference,427
0,knn,29,1.1737286997485825,0.7104521670856959,59644.9375,0.04443277204793625,,"{'knn__n_neighbors': 1, 'pca__n_components': 29}",0.3186002566562253,bwa-index,63
1,dtr,38,1.1942318850757874,0.6762801915403545,73855.5625,0.057070410034330867,,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 38}",0.3945079356984806,bwa-index,63
2,lasso,18,1.0357657763723447,0.9403903727127587,43834.29089607106,0.035614815794733454,,"{'lasso__alpha': 0.01, 'pca__n_components': 18}",0.23414587918432947,bwa-index,63
3,mlp,38,17.818153523354198,-27.030255872256994,1156736.637227555,0.9999825412977336,,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100,), 'pca__n_components': 38}",6.178841071035711,bwa-index,63
4,elasticnet,19,1.0503313990653118,0.9161143348911469,38584.01702018321,0.02925566779857925,,"{'elasticnet__alpha': 0.060000000000000005, 'elasticnet__l1_ratio': 0.2, 'pca__n_components': 19}",0.20610094067846976,bwa-index,63
5,svr,18,1.0514680818630395,0.9142198635616009,39804.91511053932,0.03053272510131119,,"{'pca__n_components': 18, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.2126225074910522,bwa-index,63
6,big,xD,,0.3131113261418236,280183.6041666667,0.15812650645815016,,,0.3855878803667986,bwa-index,63
0,knn,31,1.0573012646510935,0.9044978922481774,159.5,0.03564478229093694,,"{'knn__n_neighbors': 1, 'pca__n_components': 31}",0.2670084486411523,combine_variants,62
1,dtr,30,1.1126105199521872,0.8123158000796882,224.3125,0.049476476007464104,,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 30}",0.37550678768538226,combine_variants,62
2,lasso,19,1.1171815830450553,0.8046973615915743,236.86243433562748,0.05476667229655157,,"{'lasso__alpha': 0.01, 'pca__n_components': 19}",0.3965158064785122,combine_variants,62
3,mlp,20,19.406078700079878,-29.676797833466463,3833.5150998111667,0.9269343186928712,,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 20}",6.417435232871546,combine_variants,62
4,elasticnet,30,1.1305266475720706,0.7824555873798824,249.74039684489208,0.057362308869885886,,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 30}",0.4180739556400022,combine_variants,62
5,svr,19,1.1317456216247308,0.780423963958782,247.0405482912515,0.056416248113637775,,"{'pca__n_components': 19, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l2'}",0.4135543169323306,combine_variants,62
6,big,xD,,0.8828945197522453,338.8636363636364,0.19157081224960953,,,0.20797721520271412,combine_variants,62
0,knn,24,0.8401823079732844,0.9004908710022337,341.7196261682243,0.05533713268930349,0.5377133640132625,"{'knn__n_neighbors': 4, 'pca__n_components': 24}",0.2457116701908165,dedup,427
1,dtr,24,0.3442021888047285,0.5916730609538876,614.2353075418387,0.10486100567874168,0.6336812291777811,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 24}",0.441662613876256,dedup,427
2,lasso,39,0.5917986963324571,0.7458369241315299,693.8375817278774,0.12758423704397187,0.6415013112644365,"{'lasso__alpha': 0.9600000000000001, 'pca__n_components': 39}",0.49890020353582715,dedup,427
3,mlp,25,-1.731977641029749,-0.7010426821505984,2222.8326083449506,0.41630209055017225,-8.716256552676363,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 25}",1.598315902646374,dedup,427
4,elasticnet,20,0.5995148268638831,0.7506413072926065,701.6252715904203,0.1292912386934005,0.7331674423590175,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 20}",0.5044999002945715,dedup,427
5,svr,21,0.6029546471130713,0.7527830821647425,697.907063282464,0.1284241104513158,0.6844320580513054,"{'pca__n_components': 21, 'svr__alpha': 0.040100000000000004, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}",0.5018263424901521,dedup,427
6,big,xD,,0.9925026493825769,759.5864197530864,0.1737125789128242,,,0.12886528742326633,dedup,427
